round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.493360,0.621983,0.632235,0.318436,0.000000,0.000000,0.000000,0.838043,0.628099,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.903571,0.239443,0.364991,0.346134,0.000000,0.000000,0.000000,0.418605,0.068293,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.803092,0.356154,0.264078,0.355991,0.000000,0.000000,0.000000,0.553659,0.687747,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.617368,0.461781,0.652566,0.145556,0.000000,0.000000,0.000000,0.707692,0.583991,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.778732,0.397468,0.484196,0.070761,0.000000,0.000000,0.000000,0.860899,0.090652,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.716541,0.397536,0.659766,0.498287,0.000000,0.000000,0.000000,0.024670,0.169547,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.719452,0.363843,0.609414,0.042210,0.000000,0.000000,0.000000,0.843403,0.464596,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.540994,0.598707,0.629752,0.700575,0.000000,0.000000,0.000000,0.370469,0.648254,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.798392,0.293163,0.355769,0.123539,0.000000,0.000000,0.000000,0.796117,0.444767,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.699485,0.326891,0.303993,0.689934,0.000000,0.000000,0.000000,0.003401,0.267137,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.707098,0.405697,0.495676,0.329142,0.000000,0.000000,0.000000,0.541696,0.405308,0.000000,0,,N/A,N/A,305.02,N/A,N/A,N/A,N/A,N/A,N/A,0
2,1,0.565492,0.893673,0.914100,1.000000,1.000000,0.000000,0.153846,0.987890,0.872247,0.842105,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.478525,0.906559,0.783455,0.998288,0.997753,0.000000,0.206009,0.983607,0.129032,0.800000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.486833,0.906098,0.684366,0.998353,0.997233,0.804819,0.114943,0.970639,0.846252,0.516129,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.548598,0.935951,0.941063,1.000000,0.999213,0.563380,0.500000,0.957606,0.913071,0.384615,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.425953,0.967795,0.940063,1.000000,0.997005,0.467742,0.074074,0.985473,0.820513,0.708333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.446780,0.967434,0.959596,0.997385,0.998423,0.569659,0.322581,0.771930,0.831169,0.142857,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.530473,0.927140,0.927297,1.000000,0.998528,0.578947,0.243902,0.988688,0.852300,0.482759,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
