round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.658883,0.259049,0.411500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.497560,0.607994,0.756214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.917064,0.012690,0.025061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.505352,0.549931,0.709620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.964796,0.019301,0.037872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.989047,0.078360,0.145331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.623775,0.386031,0.557031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.881150,0.191406,0.321311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.833079,0.149225,0.259696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.739476,0.351504,0.520167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.761018,0.260549,0.374380,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,N/A,N/A,322.12,N/A,N/A,N/A,N/A,N/A,N/A,0
2,1,1.113393,0.632669,0.811100,0.000000,0.715511,0.000000,0.408723,0.742475,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.830558,0.749007,0.911362,0.074074,0.730361,0.181384,0.321127,0.750000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,1.401686,0.471013,0.080631,0.120272,0.721553,0.603720,0.140655,0.744718,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.838722,0.715565,0.837631,0.116505,0.714286,0.193309,0.599298,0.753138,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,1.496093,0.316638,0.066758,0.081918,0.719151,0.418367,0.311111,0.760933,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,1.574788,0.128811,0.204657,0.079767,0.678733,0.174419,0.125775,0.745098,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,1.098154,0.611716,0.758353,0.084000,0.733102,0.610687,0.248756,0.765957,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,1.131447,0.601953,0.749583,0.057803,0.738235,0.251309,0.023952,0.761523,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,9,1.407022,0.375000,0.364417,0.101338,0.738613,0.241135,0.288833,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,10,1.219046,0.448562,0.573362,0.097294,0.693208,0.609195,0.410628,0.726531,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,1.211091,0.505093,0.535785,0.081297,0.718275,0.328352,0.287886,0.675037,0.000000,0.000000,0,,N/A,N/A,309.19,N/A,N/A,N/A,N/A,N/A,N/A,0
3,1,0.849475,0.740337,0.785797,0.466667,0.972361,0.000000,0.439300,0.829876,0.111732,0.500000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.780334,0.713505,0.843655,0.675000,0.977778,0.083146,0.385714,0.831401,0.168168,0.222222,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,3,0.567996,0.865887,0.318182,0.937773,0.973946,0.594828,0.310448,0.837816,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4,0.918927,0.651515,0.793070,0.867816,0.967742,0.068867,0.487243,0.840467,0.000000,0.250000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,5,0.647441,0.826044,0.268657,0.946907,0.969072,0.358531,0.423237,0.852901,0.086957,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,6,1.687229,0.357450,0.263838,0.939280,0.972222,0.083391,0.285714,0.792453,0.147468,0.545455,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,7,0.672317,0.784454,0.810591,0.909502,0.976190,0.305284,0.282686,0.855263,0.189189,0.266667,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,8,0.757455,0.748828,0.805411,0.877076,0.973684,0.231648,0.066667,0.840525,0.118421,0.685714,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,9,0.605765,0.841667,0.702360,0.951296,0.971944,0.089239,0.404722,0.000000,0.175182,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,10,0.624820,0.799235,0.788686,0.946571,0.955056,0.320000,0.406091,0.790698,0.182927,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,MEAN,0.811176,0.732892,0.638025,0.851789,0.971000,0.213493,0.349182,0.747140,0.118004,0.247006,0,,N/A,N/A,312.35,N/A,N/A,N/A,N/A,N/A,N/A,0
4,1,0.915154,0.733896,0.741730,0.666667,0.999639,0.000000,0.396135,0.823775,0.069364,0.500000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,2,0.891200,0.684707,0.814766,0.731707,1.000000,0.072926,0.424837,0.830357,0.087774,0.400000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,3,0.393466,0.915153,0.518519,0.989045,0.999476,0.621067,0.393939,0.843471,0.000000,0.333333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,4,1.136735,0.610537,0.757764,0.956989,0.993711,0.064665,0.409639,0.822134,0.000000,0.444444,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,5,0.515655,0.878817,0.414716,0.994767,0.998256,0.367589,0.431877,0.846676,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,6,2.016482,0.343710,0.250115,0.988211,0.993197,0.079646,0.319635,0.814815,0.062872,0.545455,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,7,0.629984,0.797972,0.799788,0.971061,1.000000,0.292599,0.285714,0.855263,0.029851,0.424242,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,8,0.789126,0.755859,0.796574,0.929936,1.000000,0.225806,0.100000,0.838346,0.067568,0.722222,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,9,0.474603,0.883915,0.757152,0.998718,0.999024,0.077253,0.412903,0.000000,0.091603,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,10,0.565580,0.825162,0.806202,0.995480,0.990958,0.299582,0.390658,0.776471,0.101911,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,MEAN,0.832798,0.742973,0.665732,0.922258,0.997426,0.210113,0.356534,0.745131,0.051094,0.336970,0,,N/A,N/A,308.27,N/A,N/A,N/A,N/A,N/A,N/A,0
5,1,1.194048,0.649233,0.641926,0.400000,0.968727,0.000000,0.301994,0.819127,0.070352,0.500000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,2,1.149359,0.572989,0.704734,0.375000,0.979522,0.051348,0.356436,0.820789,0.074534,0.222222,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,3,0.690333,0.731028,0.087227,0.513804,0.968683,0.536009,0.210169,0.843977,0.000000,0.333333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,4,1.567137,0.469353,0.655726,0.454183,0.948052,0.044480,0.346411,0.782946,0.000000,0.444444,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,5,1.008118,0.559980,0.076622,0.528172,0.968638,0.249664,0.296984,0.846774,0.014493,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
