client,final_total_epsilon,dp_full_run_target_epsilon,noise_multiplier,dp_delta,dp_total_epochs_per_client
1,4.991404973915865,5.0,1.5673828125,1e-05,125
2,4.995212928061895,5.0,1.4013671875,1e-05,125
3,4.9913192459802405,5.0,1.826171875,1e-05,125
4,4.9913192459802405,5.0,1.826171875,1e-05,125
5,4.997027373004882,5.0,1.260986328125,1e-05,125
6,5.028412609012288,5.0,1.279296875,1e-05,125
7,4.994577572025604,5.0,1.173095703125,1e-05,125
8,4.993207854945013,5.0,1.300048828125,1e-05,125
9,4.997508419968144,5.0,2.3583984375,1e-05,125
10,4.996842631886788,5.0,1.331787109375,1e-05,125
