round_id,client_id,raw_krum_score,ground_truth_client_label,classification,client_n_samples,client_class_entropy,active_epsilon_config,alpha_dirichlet_config
1,1,361418837.6846447,byzantine,TP,57710,1.4416745418990102,,0.3
1,2,220481315.64985305,byzantine,TP,44271,0.8448817879579029,,0.3
1,3,978091.356087411,honest,TN,13547,1.2040873057914847,,0.3
1,4,2120515.2102665068,honest,TN,39460,1.3537419946367246,,0.3
1,5,599749.4031503084,honest,TN,25470,0.8636044859538863,,0.3
1,6,885696.0342741933,honest,TN,14579,1.5448182061827374,,0.3
1,7,864401.9070661685,honest,TN,14700,1.5031061614258054,,0.3
1,8,885688.9580555024,honest,TN,14364,1.2470516287115136,,0.3
1,9,1355727.683572399,honest,TN,34663,0.9728052721822986,,0.3
1,10,47088101.27164705,honest,FP,124785,1.4698458342500051,,0.3
2,1,841836891.6246955,byzantine,TP,57710,1.4416745418990102,,0.3
2,2,616788826.9921701,byzantine,TP,44271,0.8448817879579029,,0.3
2,3,978025.0093455971,honest,TN,13547,1.2040873057914847,,0.3
2,4,2120422.163724725,honest,TN,39460,1.3537419946367246,,0.3
2,5,599691.4269925317,honest,TN,25470,0.8636044859538863,,0.3
2,6,885634.1571576934,honest,TN,14579,1.5448182061827374,,0.3
2,7,864412.3411396324,honest,TN,14700,1.5031061614258054,,0.3
2,8,885627.9967602829,honest,TN,14364,1.2470516287115136,,0.3
2,9,1355687.8536230442,honest,TN,34663,0.9728052721822986,,0.3
2,10,47088028.911782384,honest,FP,124785,1.4698458342500051,,0.3
3,1,1523740678.3247383,byzantine,TP,57710,1.4416745418990102,,0.3
3,2,1214582091.46685,byzantine,TP,44271,0.8448817879579029,,0.3
3,3,977997.5634576438,honest,TN,13547,1.2040873057914847,,0.3
3,4,2120397.714103409,honest,TN,39460,1.3537419946367246,,0.3
3,5,599658.1785965865,honest,TN,25470,0.8636044859538863,,0.3
3,6,885604.8971769374,honest,TN,14579,1.5448182061827374,,0.3
3,7,864312.89342251,honest,TN,14700,1.5031061614258054,,0.3
3,8,885593.8812361949,honest,TN,14364,1.2470516287115136,,0.3
3,9,1355644.2522429968,honest,TN,34663,0.9728052721822986,,0.3
3,10,47087993.2934931,honest,FP,124785,1.4698458342500051,,0.3
4,1,2407129991.801278,byzantine,TP,57710,1.4416745418990102,,0.3
4,2,2013858029.3865252,byzantine,TP,44271,0.8448817879579029,,0.3
4,3,977992.5768313899,honest,TN,13547,1.2040873057914847,,0.3
4,4,2120407.8439935837,honest,TN,39460,1.3537419946367246,,0.3
4,5,599650.4374460569,honest,TN,25470,0.8636044859538863,,0.3
4,6,885600.4920635325,honest,TN,14579,1.5448182061827374,,0.3
4,7,864333.0618759643,honest,TN,14700,1.5031061614258054,,0.3
4,8,885593.7172815062,honest,TN,14364,1.2470516287115136,,0.3
4,9,1355655.6245441446,honest,TN,34663,0.9728052721822986,,0.3
4,10,47087998.30337214,honest,FP,124785,1.4698458342500051,,0.3
5,1,3492004668.3964424,byzantine,TP,57710,1.4416745418990102,,0.3
5,2,3014626521.3601494,byzantine,TP,44271,0.8448817879579029,,0.3
5,3,978010.4608645134,honest,TN,13547,1.2040873057914847,,0.3
5,4,2120412.045619561,honest,TN,39460,1.3537419946367246,,0.3
5,5,599688.229955937,honest,TN,25470,0.8636044859538863,,0.3
5,6,885623.4975153515,honest,TN,14579,1.5448182061827374,,0.3
5,7,864354.2136167422,honest,TN,14700,1.5031061614258054,,0.3
5,8,885650.7242792067,honest,TN,14364,1.2470516287115136,,0.3
5,9,1355670.1519926237,honest,TN,34663,0.9728052721822986,,0.3
5,10,47088014.73140186,honest,FP,124785,1.4698458342500051,,0.3
6,1,4778364366.494002,byzantine,TP,57710,1.4416745418990102,,0.3
6,2,4216871026.5227637,byzantine,TP,44271,0.8448817879579029,,0.3
6,3,977988.5857260069,honest,TN,13547,1.2040873057914847,,0.3
6,4,2120406.6248101373,honest,TN,39460,1.3537419946367246,,0.3
6,5,599645.7175765914,honest,TN,25470,0.8636044859538863,,0.3
6,6,885592.6049931202,honest,TN,14579,1.5448182061827374,,0.3
6,7,864281.4155516033,honest,TN,14700,1.5031061614258054,,0.3
6,8,885592.4919201776,honest,TN,14364,1.2470516287115136,,0.3
6,9,1355648.3567033685,honest,TN,34663,0.9728052721822986,,0.3
6,10,47088000.27786191,honest,FP,124785,1.4698458342500051,,0.3
7,1,6266209926.523378,byzantine,TP,57710,1.4416745418990102,,0.3
7,2,5620606180.383161,byzantine,TP,44271,0.8448817879579029,,0.3
7,3,977993.3309855438,honest,TN,13547,1.2040873057914847,,0.3
7,4,2120393.790013323,honest,TN,39460,1.3537419946367246,,0.3
7,5,599658.5487200761,honest,TN,25470,0.8636044859538863,,0.3
7,6,885608.6752707949,honest,TN,14579,1.5448182061827374,,0.3
7,7,864310.4041427895,honest,TN,14700,1.5031061614258054,,0.3
7,8,885585.8297266869,honest,TN,14364,1.2470516287115136,,0.3
7,9,1355638.4590113042,honest,TN,34663,0.9728052721822986,,0.3
7,10,47087996.034618914,honest,FP,124785,1.4698458342500051,,0.3
8,1,7955540903.734886,byzantine,TP,57710,1.4416745418990102,,0.3
8,2,7225825897.9809475,byzantine,TP,44271,0.8448817879579029,,0.3
8,3,977984.5295683021,honest,TN,13547,1.2040873057914847,,0.3
8,4,2120393.05602901,honest,TN,39460,1.3537419946367246,,0.3
8,5,599645.8697055045,honest,TN,25470,0.8636044859538863,,0.3
8,6,885596.0612222548,honest,TN,14579,1.5448182061827374,,0.3
8,7,864293.1205446258,honest,TN,14700,1.5031061614258054,,0.3
8,8,885588.3749403944,honest,TN,14364,1.2470516287115136,,0.3
8,9,1355644.0896149315,honest,TN,34663,0.9728052721822986,,0.3
8,10,47087994.876092285,honest,FP,124785,1.4698458342500051,,0.3
9,1,9846356832.042542,byzantine,TP,57710,1.4416745418990102,,0.3
9,2,9032529603.900703,byzantine,TP,44271,0.8448817879579029,,0.3
9,3,978009.2348232515,honest,TN,13547,1.2040873057914847,,0.3
9,4,2120476.4907583455,honest,TN,39460,1.3537419946367246,,0.3
9,5,599675.6862923261,honest,TN,25470,0.8636044859538863,,0.3
9,6,885616.8122517995,honest,TN,14579,1.5448182061827374,,0.3
9,7,864331.3115057128,honest,TN,14700,1.5031061614258054,,0.3
9,8,885598.0627822421,honest,TN,14364,1.2470516287115136,,0.3
9,9,1355674.986405593,honest,TN,34663,0.9728052721822986,,0.3
9,10,47088020.26194666,honest,FP,124785,1.4698458342500051,,0.3
10,1,11938658565.784939,byzantine,TP,57710,1.4416745418990102,,0.3
10,2,11040720472.962278,byzantine,TP,44271,0.8448817879579029,,0.3
10,3,977989.4642513827,honest,TN,13547,1.2040873057914847,,0.3
10,4,2120394.4000308937,honest,TN,39460,1.3537419946367246,,0.3
10,5,599655.7497916505,honest,TN,25470,0.8636044859538863,,0.3
10,6,885590.1828406281,honest,TN,14579,1.5448182061827374,,0.3
10,7,864316.280098851,honest,TN,14700,1.5031061614258054,,0.3
10,8,885588.11410797,honest,TN,14364,1.2470516287115136,,0.3
10,9,1355648.6589386137,honest,TN,34663,0.9728052721822986,,0.3
10,10,47087992.25701001,honest,FP,124785,1.4698458342500051,,0.3
11,1,14232445662.611547,byzantine,TP,57710,1.4416745418990102,,0.3
11,2,13250398350.567396,byzantine,TP,44271,0.8448817879579029,,0.3
11,3,977992.6527237124,honest,TN,13547,1.2040873057914847,,0.3
11,4,2120397.343110858,honest,TN,39460,1.3537419946367246,,0.3
11,5,599659.7568222121,honest,TN,25470,0.8636044859538863,,0.3
11,6,885595.2940159824,honest,TN,14579,1.5448182061827374,,0.3
11,7,864344.7142842563,honest,TN,14700,1.5031061614258054,,0.3
11,8,885589.7953149832,honest,TN,14364,1.2470516287115136,,0.3
11,9,1355649.319101326,honest,TN,34663,0.9728052721822986,,0.3
11,10,47087991.69846564,honest,FP,124785,1.4698458342500051,,0.3
12,1,16727718261.566124,byzantine,TP,57710,1.4416745418990102,,0.3
12,2,15661558450.163612,byzantine,TP,44271,0.8448817879579029,,0.3
12,3,977990.4259387507,honest,TN,13547,1.2040873057914847,,0.3
12,4,2120415.0203963025,honest,TN,39460,1.3537419946367246,,0.3
12,5,599649.1796860487,honest,TN,25470,0.8636044859538863,,0.3
12,6,885596.9360576237,honest,TN,14579,1.5448182061827374,,0.3
12,7,864295.1062604327,honest,TN,14700,1.5031061614258054,,0.3
12,8,885589.2909036968,honest,TN,14364,1.2470516287115136,,0.3
12,9,1355653.5879521752,honest,TN,34663,0.9728052721822986,,0.3
12,10,47087992.05202715,honest,FP,124785,1.4698458342500051,,0.3
13,1,19424476380.851833,byzantine,TP,57710,1.4416745418990102,,0.3
13,2,18274206235.93766,byzantine,TP,44271,0.8448817879579029,,0.3
13,3,977993.3372393596,honest,TN,13547,1.2040873057914847,,0.3
13,4,2120405.758880507,honest,TN,39460,1.3537419946367246,,0.3
13,5,599665.4468672716,honest,TN,25470,0.8636044859538863,,0.3
13,6,885610.087433889,honest,TN,14579,1.5448182061827374,,0.3
13,7,864340.8598721172,honest,TN,14700,1.5031061614258054,,0.3
13,8,885592.4492792122,honest,TN,14364,1.2470516287115136,,0.3
13,9,1355655.5684399344,honest,TN,34663,0.9728052721822986,,0.3
13,10,47087998.13905258,honest,FP,124785,1.4698458342500051,,0.3
14,1,22322719446.72936,byzantine,TP,57710,1.4416745418990102,,0.3
14,2,21088337660.218452,byzantine,TP,44271,0.8448817879579029,,0.3
14,3,977996.6964204286,honest,TN,13547,1.2040873057914847,,0.3
14,4,2120392.990915436,honest,TN,39460,1.3537419946367246,,0.3
14,5,599654.7537251306,honest,TN,25470,0.8636044859538863,,0.3
14,6,885603.6862373666,honest,TN,14579,1.5448182061827374,,0.3
14,7,864306.8783433719,honest,TN,14700,1.5031061614258054,,0.3
14,8,885608.7427206284,honest,TN,14364,1.2470516287115136,,0.3
14,9,1355641.1938883055,honest,TN,34663,0.9728052721822986,,0.3
14,10,47088002.51686739,honest,FP,124785,1.4698458342500051,,0.3
15,1,25422448921.27178,byzantine,TP,57710,1.4416745418990102,,0.3
15,2,24103955743.054405,byzantine,TP,44271,0.8448817879579029,,0.3
15,3,978014.1438002732,honest,TN,13547,1.2040873057914847,,0.3
15,4,2120498.2413672423,honest,TN,39460,1.3537419946367246,,0.3
15,5,599693.837457051,honest,TN,25470,0.8636044859538863,,0.3
15,6,885615.2878190689,honest,TN,14579,1.5448182061827374,,0.3
15,7,864346.2197639018,honest,TN,14700,1.5031061614258054,,0.3
15,8,885603.6687666855,honest,TN,14364,1.2470516287115136,,0.3
15,9,1355684.089751541,honest,TN,34663,0.9728052721822986,,0.3
15,10,47088018.51633593,honest,FP,124785,1.4698458342500051,,0.3
16,1,28723663084.289665,byzantine,TP,57710,1.4416745418990102,,0.3
16,2,27321061649.273388,byzantine,TP,44271,0.8448817879579029,,0.3
16,3,977992.0234978462,honest,TN,13547,1.2040873057914847,,0.3
16,4,2120444.175747533,honest,TN,39460,1.3537419946367246,,0.3
16,5,599657.9321856787,honest,TN,25470,0.8636044859538863,,0.3
16,6,885597.0394599806,honest,TN,14579,1.5448182061827374,,0.3
16,7,864279.8891164551,honest,TN,14700,1.5031061614258054,,0.3
16,8,885585.548172788,honest,TN,14364,1.2470516287115136,,0.3
16,9,1355654.530661065,honest,TN,34663,0.9728052721822986,,0.3
16,10,47088003.62516094,honest,FP,124785,1.4698458342500051,,0.3
17,1,32226363802.57543,byzantine,TP,57710,1.4416745418990102,,0.3
17,2,30739647649.65244,byzantine,TP,44271,0.8448817879579029,,0.3
17,3,977996.6340388817,honest,TN,13547,1.2040873057914847,,0.3
17,4,2120412.877141078,honest,TN,39460,1.3537419946367246,,0.3
17,5,599659.2688869663,honest,TN,25470,0.8636044859538863,,0.3
17,6,885605.1426207445,honest,TN,14579,1.5448182061827374,,0.3
17,7,864322.7606992315,honest,TN,14700,1.5031061614258054,,0.3
17,8,885592.2200816891,honest,TN,14364,1.2470516287115136,,0.3
17,9,1355660.5351149645,honest,TN,34663,0.9728052721822986,,0.3
17,10,47088009.77937731,honest,FP,124785,1.4698458342500051,,0.3
18,1,35930549249.65887,byzantine,TP,57710,1.4416745418990102,,0.3
18,2,34359726804.45285,byzantine,TP,44271,0.8448817879579029,,0.3
18,3,977997.4495847832,honest,TN,13547,1.2040873057914847,,0.3
18,4,2120406.462975184,honest,TN,39460,1.3537419946367246,,0.3
18,5,599662.9510967273,honest,TN,25470,0.8636044859538863,,0.3
18,6,885608.9114994024,honest,TN,14579,1.5448182061827374,,0.3
18,7,864382.4164491999,honest,TN,14700,1.5031061614258054,,0.3
18,8,885596.1578511267,honest,TN,14364,1.2470516287115136,,0.3
18,9,1355674.3319811514,honest,TN,34663,0.9728052721822986,,0.3
18,10,47088010.59302609,honest,FP,124785,1.4698458342500051,,0.3
19,1,39836220573.180984,byzantine,TP,57710,1.4416745418990102,,0.3
19,2,38181289454.21914,byzantine,TP,44271,0.8448817879579029,,0.3
19,3,977984.7810129451,honest,TN,13547,1.2040873057914847,,0.3
19,4,2120390.1915092557,honest,TN,39460,1.3537419946367246,,0.3
