round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s
1,1,1.982324,0.000791,0.000000,0.000000,0.000000,0.000000,0.000000,0.001581,0.000000,0.000000,0,0,1,N/A,0.00
1,2,1.989010,0.067821,0.000000,0.000000,0.000000,0.000000,0.000000,0.127026,0.000000,0.000000,0,0,1,N/A,0.00
1,3,1.677128,0.397795,0.000000,0.000000,0.000000,0.000000,0.000000,0.569175,0.000000,0.000000,0,1,0,N/A,0.00
1,4,1.720700,0.395191,0.000000,0.000000,0.000000,0.000000,0.000000,0.566504,0.000000,0.000000,0,0,0,N/A,0.00
1,5,1.641171,0.171227,0.000000,0.000000,0.000000,0.000000,0.000000,0.292390,0.000000,0.000000,0,1,0,N/A,0.00
1,6,1.548089,0.479426,0.000000,0.000000,0.000000,0.000000,0.000000,0.648124,0.000000,0.000000,0,0,0,N/A,0.00
1,7,1.818323,0.337152,0.000000,0.000000,0.000000,0.000000,0.000000,0.504284,0.000000,0.000000,0,1,0,N/A,0.00
1,8,2.132779,0.036769,0.000000,0.000000,0.000000,0.000000,0.000000,0.070929,0.000000,0.000000,0,1,0,N/A,0.00
1,9,2.276071,0.003033,0.000000,0.000000,0.000000,0.000000,0.000000,0.006047,0.000000,0.000000,0,1,0,N/A,0.00
1,10,2.335010,0.025882,0.000000,0.000000,0.000000,0.000000,0.000000,0.050459,0.000000,0.000000,0,1,0,N/A,0.00
1,MEAN,1.912061,0.191509,0.000000,0.000000,0.000000,0.000000,0.000000,0.283652,0.000000,0.000000,0,6,1.0000,14.9952,952.74
2,1,1.996821,0.000791,0.000000,0.000000,0.000000,0.000000,0.000000,0.001581,0.000000,0.000000,0,0,1,N/A,0.00
2,2,2.050350,0.067821,0.000000,0.000000,0.000000,0.000000,0.000000,0.127026,0.000000,0.000000,0,0,1,N/A,0.00
2,3,1.585004,0.397795,0.000000,0.000000,0.000000,0.000000,0.000000,0.569175,0.000000,0.000000,0,1,0,N/A,0.00
2,4,1.669243,0.395191,0.000000,0.000000,0.000000,0.000000,0.000000,0.566504,0.000000,0.000000,0,0,0,N/A,0.00
2,5,1.379319,0.171227,0.000000,0.000000,0.000000,0.000000,0.000000,0.292390,0.000000,0.000000,0,1,0,N/A,0.00
2,6,1.357826,0.479426,0.000000,0.000000,0.000000,0.000000,0.000000,0.648124,0.000000,0.000000,0,0,0,N/A,0.00
2,7,1.843983,0.337152,0.000000,0.000000,0.000000,0.000000,0.000000,0.504284,0.000000,0.000000,0,1,0,N/A,0.00
2,8,2.306357,0.036769,0.000000,0.000000,0.000000,0.000000,0.000000,0.070929,0.000000,0.000000,0,1,0,N/A,0.00
2,9,2.555775,0.003033,0.000000,0.000000,0.000000,0.000000,0.000000,0.006047,0.000000,0.000000,0,1,0,N/A,0.00
2,10,2.548874,0.025882,0.000000,0.000000,0.000000,0.000000,0.000000,0.050459,0.000000,0.000000,0,1,0,N/A,0.00
