round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s
1,1,1.780463,0.423594,0.000000,0.000000,0.000000,0.000000,0.000000,0.595105,0.000000,0.000000,0,0,1,N/A,0.00
1,2,2.226170,0.147953,0.000000,0.000000,0.000000,0.000000,0.000000,0.257768,0.000000,0.000000,0,0,1,N/A,0.00
1,3,1.937319,0.205530,0.000000,0.000000,0.000000,0.000000,0.000000,0.340978,0.000000,0.000000,0,1,0,N/A,0.00
1,4,2.246334,0.004843,0.000000,0.000000,0.000000,0.000000,0.000000,0.009640,0.000000,0.000000,0,0,0,N/A,0.00
1,5,1.936869,0.143508,0.000000,0.000000,0.000000,0.000000,0.000000,0.250995,0.000000,0.000000,0,1,0,N/A,0.00
1,6,2.024838,0.050662,0.000000,0.000000,0.000000,0.000000,0.000000,0.096439,0.000000,0.000000,0,1,0,N/A,0.00
1,7,1.879164,0.423964,0.000000,0.000000,0.000000,0.000000,0.000000,0.595470,0.000000,0.000000,0,1,0,N/A,0.00
1,8,1.828901,0.264403,0.000000,0.000000,0.000000,0.000000,0.000000,0.418226,0.000000,0.000000,0,1,0,N/A,0.00
1,9,2.331289,0.035530,0.000000,0.000000,0.000000,0.000000,0.000000,0.068621,0.000000,0.000000,0,0,0,N/A,0.00
1,10,1.618796,0.532397,0.000000,0.000000,0.000000,0.000000,0.000000,0.694855,0.000000,0.000000,0,1,0,N/A,0.00
1,MEAN,1.981014,0.223238,0.000000,0.000000,0.000000,0.000000,0.000000,0.332810,0.000000,0.000000,0,6,1.0000,14.9983,338.69
2,1,1.640347,0.439306,0.000000,0.000000,0.398546,0.185950,0.065253,0.761441,0.000000,0.000000,0,0,1,N/A,0.00
2,2,2.137129,0.201773,0.000000,0.000000,0.258547,0.394879,0.036649,0.287211,0.000000,0.000000,0,0,1,N/A,0.00
2,3,1.243923,0.530138,0.000000,0.000000,0.812328,0.335175,0.059542,0.586096,0.000000,0.000000,0,1,0,N/A,0.00
2,4,1.930724,0.055451,0.000000,0.000000,0.064234,0.405941,0.084044,0.013383,0.000000,0.000000,0,0,0,N/A,0.00
2,5,0.920505,0.592743,0.000000,0.000000,0.752667,0.431621,0.087609,0.707619,0.000000,0.000000,0,1,0,N/A,0.00
2,6,1.438270,0.280576,0.000000,0.000000,0.497316,0.389049,0.084948,0.268775,0.000000,0.000000,0,1,0,N/A,0.00
2,7,1.971232,0.388906,0.000000,0.000000,0.393321,0.343103,0.004310,0.636600,0.000000,0.000000,0,0,0,N/A,0.00
2,8,1.483717,0.385235,0.000000,0.000000,0.547268,0.428392,0.069216,0.577630,0.000000,0.000000,0,1,0,N/A,0.00
2,9,1.666561,0.380931,0.000000,0.000000,0.909537,0.393563,0.003683,0.114106,0.000000,0.000000,0,1,0,N/A,0.00
2,10,1.597346,0.454499,0.000000,0.000000,0.043029,0.442180,0.046596,0.706114,0.000000,0.000000,0,1,0,N/A,0.00
2,MEAN,1.602975,0.370956,0.000000,0.000000,0.467679,0.374985,0.054185,0.465897,0.000000,0.000000,0,6,1.0000,14.9983,339.72
3,1,1.014365,0.766832,0.000000,0.000000,0.912945,0.147740,0.977010,0.900270,0.000000,0.000000,0,0,1,N/A,0.00
3,2,1.849957,0.463698,0.000000,0.000000,0.828767,0.827800,0.981298,0.372554,0.000000,0.000000,0,0,1,N/A,0.00
3,3,0.757417,0.707003,0.000000,0.000000,0.987532,0.437158,0.974280,0.619781,0.000000,0.000000,0,1,0,N/A,0.00
3,4,1.574978,0.418899,0.000000,0.000000,0.593824,0.782609,0.977015,0.017456,0.000000,0.000000,0,0,0,N/A,0.00
3,5,0.394698,0.942907,0.000000,0.000000,0.984132,0.888643,0.975579,0.871367,0.000000,0.000000,0,1,0,N/A,0.00
3,6,0.825749,0.680267,0.000000,0.000000,0.954535,0.635368,0.975460,0.277910,0.000000,0.000000,0,1,0,N/A,0.00
3,7,1.465143,0.555781,0.000000,0.000000,0.872428,0.525517,0.876712,0.747508,0.000000,0.000000,0,1,0,N/A,0.00
3,8,0.870316,0.689202,0.000000,0.000000,0.962368,0.871355,0.974359,0.642298,0.000000,0.000000,0,1,0,N/A,0.00
3,9,1.505196,0.526647,0.000000,0.000000,0.994251,0.792768,0.956522,0.146114,0.000000,0.000000,0,0,0,N/A,0.00
3,10,0.970033,0.777094,0.000000,0.000000,0.454545,0.875342,0.976770,0.833846,0.000000,0.000000,0,1,0,N/A,0.00
3,MEAN,1.122785,0.652833,0.000000,0.000000,0.854533,0.678430,0.964500,0.542911,0.000000,0.000000,0,6,1.0000,14.9983,330.47
4,1,0.861471,0.777497,0.000000,0.105882,0.985270,0.164644,0.976495,0.915272,0.000000,0.000000,0,0,1,N/A,0.00
4,2,1.696520,0.496412,0.000000,0.145570,0.979757,0.855637,0.959162,0.403835,0.000000,0.000000,0,0,1,N/A,0.00
4,3,0.598871,0.735210,0.000000,0.223644,0.996972,0.450000,0.981033,0.650230,0.000000,0.000000,0,1,0,N/A,0.00
4,4,1.349337,0.447168,0.000000,0.213362,0.841751,0.751482,0.989972,0.018901,0.000000,0.000000,0,0,0,N/A,0.00
4,5,0.248687,0.962985,0.000000,0.192243,0.994371,0.941610,0.990637,0.914102,0.000000,0.000000,0,1,0,N/A,0.00
4,6,0.632467,0.717780,0.000000,0.206143,0.988164,0.659854,0.991221,0.304474,0.000000,0.000000,0,1,0,N/A,0.00
4,7,1.268531,0.578218,0.000000,0.169713,1.000000,0.561024,0.503817,0.779333,0.000000,0.000000,0,1,0,N/A,0.00
4,8,0.683498,0.731620,0.000000,0.212885,0.985746,0.922026,0.987289,0.678487,0.000000,0.000000,0,1,0,N/A,0.00
4,9,1.281653,0.547335,0.000000,0.000000,0.998844,0.817947,0.785714,0.163117,0.000000,0.000000,0,0,0,N/A,0.00
4,10,0.822359,0.803229,0.000000,0.197333,0.759690,0.923590,0.979251,0.855739,0.000000,0.000000,0,1,0,N/A,0.00
4,MEAN,0.944339,0.679745,0.000000,0.166677,0.953057,0.704781,0.914459,0.568349,0.000000,0.000000,0,6,1.0000,14.9983,320.76
5,1,0.809442,0.779614,0.000000,0.185185,0.924847,0.165975,0.990735,0.919178,0.000000,0.445783,0,0,1,N/A,0.00
5,2,1.326452,0.562474,0.000000,0.200669,0.820339,0.892944,0.986928,0.438486,0.000000,0.503802,0,0,1,N/A,0.00
5,3,0.554136,0.766213,0.000000,0.275966,0.991399,0.484444,0.989149,0.682790,0.000000,0.505426,0,0,0,N/A,0.00
5,4,0.986597,0.580903,0.000000,0.263549,0.714286,0.845349,0.989630,0.024741,0.000000,0.505936,0,0,0,N/A,0.00
5,5,0.204094,0.966809,0.000000,0.259649,0.992002,0.963669,0.989116,0.927905,0.000000,0.302326,0,1,0,N/A,0.00
5,6,0.563270,0.746399,0.000000,0.261844,0.975956,0.694239,0.989967,0.334077,0.000000,0.475073,0,1,0,N/A,0.00
5,7,1.133334,0.615301,0.000000,0.244444,0.826511,0.576057,0.857143,0.805187,0.000000,0.500673,0,1,0,N/A,0.00
5,8,0.610463,0.757316,0.000000,0.246537,0.977003,0.943336,0.986966,0.703048,0.000000,0.471939,0,1,0,N/A,0.00
5,9,0.924945,0.655048,0.000000,0.044444,0.989321,0.848014,0.929577,0.211163,0.000000,0.513623,0,1,0,N/A,0.00
5,10,0.705601,0.824441,0.000000,0.230976,0.537634,0.946035,0.989634,0.870517,0.000000,0.484429,0,1,0,N/A,0.00
5,MEAN,0.781834,0.725452,0.000000,0.221326,0.874930,0.736006,0.969885,0.591709,0.000000,0.470901,0,6,1.0000,14.9983,341.59
6,1,0.895616,0.623382,0.000000,0.060196,0.962005,0.164644,0.974988,0.748776,0.000000,0.126431,0,0,1,N/A,0.00
6,2,1.154723,0.607007,0.000000,0.278114,0.914729,0.892257,0.952183,0.695722,0.000000,0.537808,0,0,1,N/A,0.00
6,3,0.555112,0.785983,0.000000,0.601673,0.986311,0.484621,0.955300,0.725852,0.000000,0.527772,0,1,0,N/A,0.00
6,4,0.619975,0.820105,0.000000,0.508555,0.857143,0.846380,0.991123,0.206186,0.000000,0.839715,0,1,0,N/A,0.00
6,5,0.263458,0.915453,0.000000,0.351617,0.985434,0.956928,0.978318,0.760865,0.000000,0.107551,0,0,0,N/A,0.00
6,6,0.466857,0.831480,0.000000,0.644863,0.981238,0.695394,0.987475,0.638424,0.000000,0.583624,0,1,0,N/A,0.00
6,7,1.154726,0.530539,0.000000,0.377982,0.886022,0.576122,0.425806,0.747042,0.000000,0.450800,0,0,0,N/A,0.00
6,8,0.646948,0.758846,0.000000,0.560160,0.974340,0.939565,0.978985,0.730487,0.000000,0.411933,0,1,0,N/A,0.00
6,9,0.679487,0.786148,0.000000,0.022059,0.983417,0.849696,0.611111,0.660494,0.000000,0.824897,0,1,0,N/A,0.00
6,10,0.866531,0.671831,0.000000,0.296434,0.720588,0.942229,0.978290,0.753580,0.000000,0.312291,0,1,0,N/A,0.00
6,MEAN,0.730343,0.733077,0.000000,0.370165,0.925123,0.734784,0.883358,0.666743,0.000000,0.472282,0,6,1.0000,14.9983,335.85
7,1,0.665006,0.748677,0.000000,0.159011,0.976045,0.165186,0.977354,0.908843,0.000000,0.293371,0,0,1,N/A,0.00
