round_id,client_id,raw_krum_score,ground_truth_client_label,classification,client_n_samples,client_class_entropy,active_epsilon_config,alpha_dirichlet_config
1,1,174877420.54692122,byzantine,TP,32820,1.3854645792980458,,0.3
1,2,225985.26142522326,honest,TN,14708,0.9527375260966556,,0.3
1,3,189699.91039635323,honest,TN,17473,1.4294074782267465,,0.3
1,4,1244710.3580807825,honest,FP,30393,0.5975274275269586,,0.3
1,5,189080.05589272612,honest,TN,17072,0.7341865877327463,,0.3
1,6,539974.6818153561,honest,FP,9648,1.3491242584358574,,0.3
1,7,202907247.75372478,honest,FP,213084,1.220019495023011,,0.3
1,8,189981.48124348593,honest,TN,16764,1.486632802750769,,0.3
1,9,189692.81006121502,honest,TN,17535,0.5683422298789864,,0.3
1,10,252685.71815314138,honest,TN,14049,1.532344751965704,,0.3
2,1,418227609.4701445,byzantine,TP,32820,1.3854645792980458,,0.3
2,2,225925.4294443512,honest,TN,14708,0.9527375260966556,,0.3
2,3,189644.40140028938,honest,TN,17473,1.4294074782267465,,0.3
2,4,1244637.4523898922,honest,FP,30393,0.5975274275269586,,0.3
2,5,189024.4178132874,honest,TN,17072,0.7341865877327463,,0.3
2,6,539910.7916990819,honest,FP,9648,1.3491242584358574,,0.3
2,7,202907160.13754797,honest,FP,213084,1.220019495023011,,0.3
2,8,189910.25063227562,honest,TN,16764,1.486632802750769,,0.3
2,9,189613.54450050046,honest,TN,17535,0.5683422298789864,,0.3
2,10,252612.1293050797,honest,TN,14049,1.532344751965704,,0.3
3,1,766090707.4355854,byzantine,TP,32820,1.3854645792980458,,0.3
3,2,225900.52348829852,honest,TN,14708,0.9527375260966556,,0.3
3,3,189591.74790566365,honest,TN,17473,1.4294074782267465,,0.3
3,4,1244612.8625649218,honest,FP,30393,0.5975274275269586,,0.3
3,5,188997.00318641498,honest,TN,17072,0.7341865877327463,,0.3
3,6,539883.550120355,honest,FP,9648,1.3491242584358574,,0.3
3,7,202907138.74645638,honest,FP,213084,1.220019495023011,,0.3
3,8,189887.26836733622,honest,TN,16764,1.486632802750769,,0.3
3,9,189595.26565910055,honest,TN,17535,0.5683422298789864,,0.3
3,10,252587.2919759514,honest,TN,14049,1.532344751965704,,0.3
4,1,1218466891.4931395,byzantine,TP,32820,1.3854645792980458,,0.3
4,2,225892.5240253114,honest,TN,14708,0.9527375260966556,,0.3
4,3,189597.15698353678,honest,TN,17473,1.4294074782267465,,0.3
4,4,1244588.4295640145,honest,FP,30393,0.5975274275269586,,0.3
4,5,188993.9326670829,honest,TN,17072,0.7341865877327463,,0.3
4,6,539878.9937433285,honest,FP,9648,1.3491242584358574,,0.3
4,7,202907295.2937298,honest,FP,213084,1.220019495023011,,0.3
4,8,189881.45481333308,honest,TN,16764,1.486632802750769,,0.3
