round_id,client_id,raw_krum_score,ground_truth_client_label,classification,client_n_samples,client_class_entropy,active_epsilon_config,alpha_dirichlet_config
1,1,147478.7087097168,byzantine,TP,58674,1.3597929741190133,3.0,0.7
1,2,147845.7341003418,byzantine,TP,36250,1.2529280000791145,3.0,0.7
1,3,574.7159118652344,honest,TN,36168,1.3564522006178414,3.0,0.7
1,4,509.64588165283203,honest,TN,26131,1.1810190811798464,3.0,0.7
1,5,576.3977508544922,honest,TN,36828,1.4289023077762488,3.0,0.7
1,6,612.887565612793,honest,TN,41913,1.1420763115133032,3.0,0.7
1,7,490.87242126464844,honest,TN,23961,1.5708396465370165,3.0,0.7
1,8,484.57869720458984,honest,TN,23035,1.4642965239408958,3.0,0.7
1,9,647.6869583129883,honest,TN,46439,1.2947268556928377,3.0,0.7
1,10,702.624641418457,honest,TN,54149,1.3346977016878712,3.0,0.7
2,1,149530.25187683105,byzantine,TP,58674,1.3597929741190133,3.0,0.7
2,2,150128.93156433105,byzantine,TP,36250,1.2529280000791145,3.0,0.7
2,3,520.6808166503906,honest,TN,36168,1.3564522006178414,3.0,0.7
2,4,459.0582847595215,honest,TN,26131,1.1810190811798464,3.0,0.7
2,5,521.2962799072266,honest,TN,36828,1.4289023077762488,3.0,0.7
2,6,557.0071105957031,honest,TN,41913,1.1420763115133032,3.0,0.7
2,7,439.0370063781738,honest,TN,23961,1.5708396465370165,3.0,0.7
2,8,438.2686538696289,honest,TN,23035,1.4642965239408958,3.0,0.7
2,9,584.1793746948242,honest,TN,46439,1.2947268556928377,3.0,0.7
2,10,633.8188934326172,honest,TN,54149,1.3346977016878712,3.0,0.7
3,1,151887.82234191895,byzantine,TP,58674,1.3597929741190133,3.0,0.7
3,2,152413.84577941895,byzantine,TP,36250,1.2529280000791145,3.0,0.7
3,3,515.478141784668,honest,TN,36168,1.3564522006178414,3.0,0.7
3,4,453.3814506530762,honest,TN,26131,1.1810190811798464,3.0,0.7
3,5,515.3404388427734,honest,TN,36828,1.4289023077762488,3.0,0.7
3,6,550.1004486083984,honest,TN,41913,1.1420763115133032,3.0,0.7
3,7,434.78872299194336,honest,TN,23961,1.5708396465370165,3.0,0.7
3,8,432.20967864990234,honest,TN,23035,1.4642965239408958,3.0,0.7
3,9,576.0213165283203,honest,TN,46439,1.2947268556928377,3.0,0.7
3,10,630.4465942382812,honest,TN,54149,1.3346977016878712,3.0,0.7
4,1,153769.6226119995,byzantine,TP,58674,1.3597929741190133,3.0,0.7
4,2,154171.0015182495,byzantine,TP,36250,1.2529280000791145,3.0,0.7
4,3,511.95975494384766,honest,TN,36168,1.3564522006178414,3.0,0.7
4,4,450.2191276550293,honest,TN,26131,1.1810190811798464,3.0,0.7
4,5,512.7750701904297,honest,TN,36828,1.4289023077762488,3.0,0.7
4,6,544.8219757080078,honest,TN,41913,1.1420763115133032,3.0,0.7
4,7,432.7933006286621,honest,TN,23961,1.5708396465370165,3.0,0.7
4,8,425.94383239746094,honest,TN,23035,1.4642965239408958,3.0,0.7
4,9,572.7878341674805,honest,TN,46439,1.2947268556928377,3.0,0.7
4,10,627.3516006469727,honest,TN,54149,1.3346977016878712,3.0,0.7
5,1,155431.08853530884,byzantine,TP,58674,1.3597929741190133,3.0,0.7
