round_id,client_id,raw_krum_score,ground_truth_client_label,classification,client_n_samples,client_class_entropy,active_epsilon_config,alpha_dirichlet_config
1,1,410487670.14017737,byzantine,TP,58674,1.3597929741190133,,0.7
1,2,180414872.47566324,byzantine,TP,36250,1.2529280000791145,,0.7
1,3,430971.70089390944,honest,TN,36168,1.3564522006178414,,0.7
1,4,670835.2748431684,honest,TN,26131,1.1810190811798464,,0.7
1,5,447361.7012629272,honest,TN,36828,1.4289023077762488,,0.7
1,6,606789.3557211787,honest,TN,41913,1.1420763115133032,,0.7
1,7,877383.963116159,honest,TN,23961,1.5708396465370165,,0.7
1,8,987388.3821986432,honest,TN,23035,1.4642965239408958,,0.7
1,9,912780.2988292719,honest,TN,46439,1.2947268556928377,,0.7
1,10,1926824.7788552092,honest,TN,54149,1.3346977016878712,,0.7
2,1,1203484560.328471,byzantine,TP,58674,1.3597929741190133,,0.7
2,2,771200321.1683168,byzantine,TP,36250,1.2529280000791145,,0.7
2,3,430899.6822033663,honest,TN,36168,1.3564522006178414,,0.7
2,4,670757.7443833372,honest,TN,26131,1.1810190811798464,,0.7
2,5,447296.16883558023,honest,TN,36828,1.4289023077762488,,0.7
2,6,606696.3313554933,honest,TN,41913,1.1420763115133032,,0.7
2,7,877302.9348080312,honest,TN,23961,1.5708396465370165,,0.7
2,8,987295.520183438,honest,TN,23035,1.4642965239408958,,0.7
2,9,912696.615733848,honest,TN,46439,1.2947268556928377,,0.7
2,10,1926690.182272916,honest,TN,54149,1.3346977016878712,,0.7
3,1,2418943624.500856,byzantine,TP,58674,1.3597929741190133,,0.7
3,2,1784426683.4400792,byzantine,TP,36250,1.2529280000791145,,0.7
3,3,430896.75736452296,honest,TN,36168,1.3564522006178414,,0.7
3,4,670779.9816246701,honest,TN,26131,1.1810190811798464,,0.7
3,5,447302.1575190239,honest,TN,36828,1.4289023077762488,,0.7
3,6,606696.9856688601,honest,TN,41913,1.1420763115133032,,0.7
3,7,877296.5303777698,honest,TN,23961,1.5708396465370165,,0.7
3,8,987292.4252616683,honest,TN,23035,1.4642965239408958,,0.7
3,9,912693.322002901,honest,TN,46439,1.2947268556928377,,0.7
3,10,1926684.9592572837,honest,TN,54149,1.3346977016878712,,0.7
4,1,4056867353.6666927,byzantine,TP,58674,1.3597929741190133,,0.7
4,2,3220122412.764482,byzantine,TP,36250,1.2529280000791145,,0.7
4,3,430897.2422345445,honest,TN,36168,1.3564522006178414,,0.7
4,4,670746.4007236048,honest,TN,26131,1.1810190811798464,,0.7
4,5,447284.6263966902,honest,TN,36828,1.4289023077762488,,0.7
4,6,606693.694120656,honest,TN,41913,1.1420763115133032,,0.7
4,7,877282.2684401139,honest,TN,23961,1.5708396465370165,,0.7
4,8,987275.2551746399,honest,TN,23035,1.4642965239408958,,0.7
4,9,912682.0356198382,honest,TN,46439,1.2947268556928377,,0.7
4,10,1926715.6256984328,honest,TN,54149,1.3346977016878712,,0.7
5,1,6117256868.008519,byzantine,TP,58674,1.3597929741190133,,0.7
5,2,5078293774.093291,byzantine,TP,36250,1.2529280000791145,,0.7
5,3,430886.4123074047,honest,TN,36168,1.3564522006178414,,0.7
5,4,670761.6806311387,honest,TN,26131,1.1810190811798464,,0.7
5,5,447283.0991785549,honest,TN,36828,1.4289023077762488,,0.7
5,6,606683.8668190594,honest,TN,41913,1.1420763115133032,,0.7
5,7,877282.2923389049,honest,TN,23961,1.5708396465370165,,0.7
