round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.442205,0.540698,0.696386,0.000000,0.119843,0.000000,0.000000,0.000000,0.050000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.304942,0.651282,0.796394,0.000000,0.017621,0.000000,0.000000,0.126984,0.123134,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.832472,0.060161,0.050556,0.000000,0.100000,0.000000,0.000000,0.166090,0.113475,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.207096,0.638486,0.778452,0.000000,0.108731,0.000000,0.000000,0.214286,0.100457,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,3.047709,0.057487,0.101971,0.000000,0.029630,0.000000,0.000000,0.109091,0.057692,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,2.464570,0.300820,0.461845,0.000000,0.056338,0.000000,0.000000,0.123288,0.128000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,2.174702,0.404339,0.573508,0.000000,0.089888,0.000000,0.000000,0.185714,0.120635,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.991443,0.204409,0.296693,0.000000,0.074675,0.000000,0.000000,0.101695,0.142020,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,2.643216,0.237251,0.374040,0.000000,0.140845,0.000000,0.000000,0.120301,0.045977,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.851530,0.515076,0.688893,0.000000,0.044843,0.000000,0.000000,0.149485,0.069264,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,2.095988,0.361001,0.481874,0.000000,0.078241,0.000000,0.000000,0.129693,0.095065,0.000000,0,,N/A,N/A,547.79,N/A,N/A,N/A,N/A,N/A,N/A,0
2,1,1.098147,0.604651,0.799775,0.008811,0.404853,0.000000,0.532609,0.000000,0.254417,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.993990,0.639406,0.850471,0.053232,0.052342,0.000000,0.000000,0.121951,0.409055,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,1.603119,0.296542,0.127596,0.399015,0.168707,0.000000,0.581162,0.283019,0.363050,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.997855,0.651771,0.838730,0.224806,0.333670,0.000000,0.315789,0.162162,0.333333,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,1.478241,0.365642,0.261411,0.602098,0.160377,0.000000,0.570000,0.218487,0.050179,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,1.365781,0.464754,0.710900,0.538226,0.095847,0.000000,0.481481,0.171053,0.204255,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,1.281785,0.482051,0.689147,0.436364,0.166038,0.000000,0.536585,0.242038,0.313725,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,1.387855,0.347695,0.477771,0.102881,0.288998,0.005714,0.454545,0.154589,0.410526,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,9,1.384151,0.491915,0.741129,0.528144,0.293539,0.000000,0.566120,0.209150,0.088300,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,10,1.111322,0.607276,0.839373,0.571914,0.086857,0.000000,0.410959,0.245783,0.126679,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,1.270225,0.495170,0.633630,0.346549,0.205123,0.000571,0.444925,0.180823,0.255352,0.000000,0,,N/A,N/A,548.63,N/A,N/A,N/A,N/A,N/A,N/A,0
3,1,0.718054,0.751615,0.849493,0.000000,0.573927,0.645455,0.860814,0.000000,0.528967,0.289474,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.617071,0.818354,0.886410,0.444444,0.200000,0.577963,0.000000,0.263158,0.783410,0.210526,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
