round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.784826,0.489785,0.646121,0.158348,0.000000,0.000000,0.000000,0.090909,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.999214,0.126674,0.138690,0.163501,0.000000,0.000000,0.000000,0.181818,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.878542,0.471370,0.638209,0.120482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.972693,0.189847,0.312388,0.198582,0.000000,0.000000,0.000000,0.155340,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.851425,0.463457,0.623056,0.158065,0.000000,0.000000,0.000000,0.123077,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.911047,0.235089,0.357587,0.112903,0.000000,0.000000,0.000000,0.065217,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.762406,0.600673,0.745482,0.133056,0.000000,0.000000,0.000000,0.133333,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.649688,0.757597,0.861424,0.171429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,2.134278,0.092748,0.149553,0.000000,0.000000,0.000000,0.000000,0.099125,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.821129,0.480504,0.645004,0.175342,0.000000,0.000000,0.000000,0.117647,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.876525,0.390774,0.511751,0.139171,0.000000,0.000000,0.000000,0.096647,0.000000,0.000000,0,,N/A,N/A,146.70,N/A,N/A,N/A,N/A,N/A,N/A,0
2,1,1.628981,0.498468,0.650036,0.158348,0.103448,0.000000,0.000000,0.250000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,2.024148,0.130022,0.139150,0.163501,0.063830,0.000000,0.000000,0.333333,0.080000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,1.810258,0.481595,0.642706,0.120482,0.000000,0.000000,0.000000,0.000000,0.153846,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,1.918955,0.230301,0.323495,0.198582,0.089941,0.000000,0.000000,0.190476,0.128263,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,1.748591,0.469079,0.625527,0.158065,0.066667,0.000000,0.000000,0.165414,0.127273,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,1.852726,0.251197,0.362491,0.112903,0.070922,0.000000,0.000000,0.106383,0.141935,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,1.612138,0.603075,0.746626,0.133056,0.140845,0.000000,0.000000,0.133333,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,1.400935,0.763860,0.864520,0.171429,0.065708,0.000000,0.000000,0.000000,0.099099,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,9,2.242117,0.125954,0.154357,0.000000,0.240000,0.000000,0.000000,0.131805,0.127424,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,10,1.693482,0.499287,0.653390,0.175342,0.094374,0.000000,0.000000,0.144928,0.131646,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,1.793233,0.405284,0.516230,0.139171,0.093573,0.000000,0.000000,0.145567,0.098949,0.000000,0,,N/A,N/A,133.51,N/A,N/A,N/A,N/A,N/A,N/A,0
3,1,1.586383,0.498468,0.650036,0.158348,0.103448,0.000000,0.000000,0.250000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,2,2.015783,0.130022,0.139150,0.163501,0.063830,0.000000,0.000000,0.333333,0.080000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,3,1.789615,0.481595,0.642706,0.120482,0.000000,0.000000,0.000000,0.000000,0.153846,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4,1.932235,0.230301,0.323495,0.198582,0.089941,0.000000,0.000000,0.190476,0.128263,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,5,1.719941,0.469079,0.625527,0.158065,0.066667,0.000000,0.000000,0.165414,0.127273,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,6,1.845591,0.251197,0.362491,0.112903,0.070922,0.000000,0.000000,0.106383,0.141935,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,7,1.575166,0.603075,0.746626,0.133056,0.140845,0.000000,0.000000,0.133333,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,8,1.349594,0.763860,0.864520,0.171429,0.065708,0.000000,0.000000,0.000000,0.099099,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,9,2.300880,0.125954,0.154357,0.000000,0.240000,0.000000,0.000000,0.131805,0.127424,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,10,1.671685,0.499287,0.653390,0.175342,0.094374,0.000000,0.000000,0.144928,0.131646,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,MEAN,1.778687,0.405284,0.516230,0.139171,0.093573,0.000000,0.000000,0.145567,0.098949,0.000000,0,,N/A,N/A,135.23,N/A,N/A,N/A,N/A,N/A,N/A,0
4,1,1.564437,0.498468,0.650036,0.158348,0.103448,0.000000,0.000000,0.250000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,2,2.022587,0.130022,0.139150,0.163501,0.063830,0.000000,0.000000,0.333333,0.080000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,3,1.754073,0.481595,0.642706,0.120482,0.000000,0.000000,0.000000,0.000000,0.153846,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,4,1.930300,0.230301,0.323495,0.198582,0.089941,0.000000,0.000000,0.190476,0.128263,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,5,1.704684,0.469079,0.625527,0.158065,0.066667,0.000000,0.000000,0.165414,0.127273,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,6,1.850583,0.251197,0.362491,0.112903,0.070922,0.000000,0.000000,0.106383,0.141935,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,7,1.544530,0.603075,0.746626,0.133056,0.140845,0.000000,0.000000,0.133333,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,8,1.302033,0.763860,0.864520,0.171429,0.065708,0.000000,0.000000,0.000000,0.099099,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,9,2.328615,0.125954,0.154357,0.000000,0.240000,0.000000,0.000000,0.131805,0.127424,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,10,1.641020,0.499287,0.653390,0.175342,0.094374,0.000000,0.000000,0.144928,0.131646,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,MEAN,1.764286,0.405284,0.516230,0.139171,0.093573,0.000000,0.000000,0.145567,0.098949,0.000000,0,,N/A,N/A,145.44,N/A,N/A,N/A,N/A,N/A,N/A,0
5,1,1.553807,0.498468,0.650036,0.158348,0.103448,0.000000,0.000000,0.250000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,2,2.114131,0.130022,0.139150,0.163501,0.063830,0.000000,0.000000,0.333333,0.080000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,3,1.661869,0.481595,0.642706,0.120482,0.000000,0.000000,0.000000,0.000000,0.153846,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,4,2.091060,0.230301,0.323495,0.198582,0.089941,0.000000,0.000000,0.190476,0.128263,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,5,1.657669,0.469079,0.625527,0.158065,0.066667,0.000000,0.000000,0.165414,0.127273,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,6,1.956892,0.251197,0.362491,0.112903,0.070922,0.000000,0.000000,0.106383,0.141935,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,7,1.481145,0.603075,0.746626,0.133056,0.140845,0.000000,0.000000,0.133333,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,8,1.231607,0.763860,0.864520,0.171429,0.065708,0.000000,0.000000,0.000000,0.099099,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,9,2.463869,0.125954,0.154357,0.000000,0.240000,0.000000,0.000000,0.131805,0.127424,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,10,1.640908,0.499287,0.653390,0.175342,0.094374,0.000000,0.000000,0.144928,0.131646,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,MEAN,1.785296,0.405284,0.516230,0.139171,0.093573,0.000000,0.000000,0.145567,0.098949,0.000000,0,,N/A,N/A,123.77,N/A,N/A,N/A,N/A,N/A,N/A,0
6,1,1.229633,0.576098,0.813437,0.158348,0.274424,0.000000,0.800959,0.250000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,2,1.587391,0.203683,0.435484,0.163501,0.083499,0.000000,0.425197,0.333333,0.285714,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,3,1.290064,0.459100,0.828261,0.120482,0.114833,0.000000,0.200000,0.000000,0.260870,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,4,1.448024,0.384981,0.518712,0.198582,0.282618,0.000000,0.814721,0.190476,0.205658,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,5,1.275752,0.553760,0.818494,0.158065,0.168122,0.000000,0.690453,0.165414,0.176991,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,6,1.524366,0.377449,0.550725,0.112903,0.312297,0.000000,0.807018,0.106383,0.177215,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,7,1.207335,0.580010,0.876158,0.133056,0.114583,0.000000,0.419087,0.133333,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,8,1.038936,0.742983,0.877242,0.171429,0.313894,0.000000,0.578218,0.000000,0.165217,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
