round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.922539,0.475485,0.650499,0.000000,0.103448,0.000000,0.000000,0.307692,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,3.004503,0.075893,0.139690,0.000000,0.063830,0.000000,0.000000,0.387097,0.016129,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.937515,0.477505,0.648649,0.000000,0.000000,0.000000,0.000000,0.133333,0.148148,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,2.100677,0.227657,0.333893,0.000000,0.089941,0.000000,0.000000,0.117155,0.127252,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.112904,0.455727,0.628486,0.000000,0.066667,0.000000,0.000000,0.289474,0.088050,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,2.206498,0.239007,0.365471,0.000000,0.070922,0.000000,0.000000,0.190789,0.111675,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.787969,0.588179,0.746855,0.000000,0.140845,0.000000,0.000000,0.250000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.157296,0.760148,0.866711,0.000000,0.065708,0.000000,0.000000,0.114286,0.091667,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,2.552381,0.140458,0.161141,0.000000,0.240000,0.000000,0.000000,0.206897,0.127424,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.682155,0.492154,0.660896,0.000000,0.094374,0.000000,0.000000,0.101449,0.126521,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,2.046444,0.393221,0.520229,0.000000,0.093573,0.000000,0.000000,0.209817,0.083687,0.000000,0,,N/A,N/A,36.89,N/A,N/A,N/A,N/A,N/A,N/A,0
2,1,0.952960,0.701226,0.880301,0.668090,0.246154,0.371681,0.818627,0.320000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,1.093177,0.633371,0.681250,0.742857,0.213992,0.780115,0.644776,0.461538,0.038095,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.932952,0.713701,0.880517,0.506173,0.000000,0.741667,0.423077,0.666667,0.389189,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,1.223274,0.456372,0.548193,0.181818,0.307832,0.612022,0.753521,0.256881,0.420465,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.927068,0.737878,0.878030,0.694199,0.262821,0.689038,0.835473,0.305556,0.216028,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,1.324672,0.492381,0.633021,0.597362,0.259358,0.245614,0.660287,0.195946,0.181360,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.870684,0.778472,0.928934,0.705882,0.211921,0.671533,0.653722,0.250000,0.014388,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
