round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.540119,0.481735,0.617815,0.690391,0.000000,0.000000,0.000000,0.000000,0.460591,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,2.403487,0.323001,0.243187,0.715512,0.000000,0.000000,0.000000,0.000000,0.127660,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.219897,0.309016,0.151190,0.737120,0.000000,0.000000,0.000000,0.000000,0.472362,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.688512,0.536119,0.705541,0.436364,0.000000,0.000000,0.000000,0.000000,0.505403,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.656516,0.205890,0.358590,0.249027,0.000000,0.000000,0.000000,0.000000,0.363636,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.579580,0.655714,0.720739,0.841895,0.000000,0.000000,0.000000,0.000000,0.468750,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,2.137550,0.384563,0.597289,0.142091,0.000000,0.000000,0.000000,0.000000,0.452459,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.023159,0.730905,0.684106,0.957454,0.000000,0.000000,0.000000,0.000000,0.510801,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,2.371522,0.173233,0.247518,0.360856,0.000000,0.000000,0.000000,0.000000,0.340836,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.258249,0.488265,0.303211,0.950692,0.000000,0.000000,0.000000,0.000000,0.271357,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.887859,0.428844,0.462919,0.608140,0.000000,0.000000,0.000000,0.000000,0.397385,0.000000,0,,N/A,N/A,352.16,N/A,N/A,N/A,N/A,N/A,N/A,0
2,1,0.387901,0.868885,0.893654,0.995261,0.997669,0.011236,0.093750,0.955475,0.886580,0.800000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.251439,0.900270,0.815642,1.000000,0.999102,0.000000,0.147826,0.860140,0.126316,0.903226,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.259281,0.910213,0.734545,0.996711,0.998343,0.807339,0.080460,0.949593,0.854981,0.615385,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.309150,0.911802,0.915056,0.997347,0.999607,0.512334,0.000000,0.876106,0.925466,0.344828,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
