round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.918625,0.233187,0.224390,0.670692,0.000000,0.000000,0.000000,0.133721,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.983295,0.147059,0.283333,0.385782,0.000000,0.000000,0.000000,0.039360,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.929166,0.315318,0.200000,0.514361,0.000000,0.000000,0.000000,0.426966,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.875221,0.210742,0.270019,0.707865,0.000000,0.000000,0.000000,0.214286,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.039834,0.127337,0.278481,0.109046,0.000000,0.000000,0.000000,0.416481,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.812970,0.659825,0.000000,0.839183,0.000000,0.000000,0.000000,0.762665,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.819136,0.488673,0.263539,0.935065,0.000000,0.000000,0.000000,0.227239,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,2.009634,0.178694,0.253881,0.329241,0.000000,0.000000,0.000000,0.141378,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.882404,0.320814,0.305419,0.710723,0.000000,0.000000,0.000000,0.355952,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.833179,0.609948,0.323810,0.865448,0.000000,0.000000,0.000000,0.432127,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.910347,0.329160,0.240287,0.606741,0.000000,0.000000,0.000000,0.315018,0.000000,0.000000,0,,N/A,N/A,60.42,N/A,N/A,N/A,N/A,N/A,N/A,0
2,1,1.539623,0.261052,0.221610,0.678060,0.000000,0.000000,0.090246,0.806754,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,1.444451,0.394658,0.273684,0.392064,0.000000,0.000000,0.700429,0.653061,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,1.289235,0.618804,0.187500,0.526085,0.000000,0.000000,0.947160,0.948718,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,1.433177,0.388747,0.270370,0.715084,0.000000,0.000000,0.388403,0.911215,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,1.451080,0.237756,0.282353,0.110149,0.000000,0.000000,0.669202,0.923497,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,1.310040,0.669786,0.000000,0.854780,0.000000,0.000000,0.193075,0.953778,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
