round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.619868,0.517602,0.710883,0.200404,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.527189,0.612710,0.772175,0.191047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.131271,0.079444,0.061059,0.241778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.575332,0.522167,0.668695,0.378776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.172261,0.030776,0.063029,0.049473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.949171,0.168244,0.190619,0.346859,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.654836,0.522301,0.709665,0.109564,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.750973,0.320322,0.363311,0.461655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.762593,0.314068,0.410249,0.412705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.668526,0.526583,0.711937,0.150928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.781202,0.361422,0.466162,0.254319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,8,1.0000,10.9951,694.16,11.00,0.5652,6.9681e+08,4.3484e+02,1602426.0335,0
2,1,1.359551,0.666718,0.800114,0.170213,0.086957,0.000000,0.000000,0.000000,0.122999,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,1.260734,0.787443,0.881815,0.106352,0.000000,0.000000,0.000000,0.000000,0.131579,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,2.131884,0.055351,0.055849,0.150568,0.096573,0.000000,0.000000,0.000000,0.200000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,1.412416,0.595438,0.739151,0.167354,0.104628,0.000000,0.000000,0.000000,0.152284,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,2.114492,0.065494,0.061572,0.021505,0.098300,0.000000,0.000000,0.000000,0.092157,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,1.868663,0.143136,0.183647,0.136345,0.035088,0.000000,0.000000,0.000000,0.125766,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,1.435055,0.689100,0.817040,0.169697,0.084416,0.000000,0.000000,0.000000,0.104869,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,1.734745,0.259583,0.369500,0.158148,0.118919,0.000000,0.000000,0.000000,0.108449,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,9,1.660119,0.293380,0.417003,0.161046,0.091725,0.000000,0.000000,0.000000,0.124466,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,10,1.482543,0.680244,0.810020,0.153257,0.100840,0.000000,0.000000,0.000000,0.180791,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,1.646020,0.423589,0.513571,0.139448,0.081744,0.000000,0.000000,0.000000,0.134336,0.000000,0,8,1.0000,10.9951,607.62,11.00,0.5652,6.9878e+08,4.2107e+02,1659542.4639,0
3,1,1.237025,0.702537,0.817143,0.256250,0.086957,0.000000,0.833747,0.108434,0.198387,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.989325,0.812659,0.895790,0.211127,0.000000,0.000000,0.777293,0.086957,0.211055,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,3,2.135390,0.087041,0.058496,0.218440,0.096273,0.000000,0.589552,0.169336,0.270270,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,4,1.375735,0.642766,0.763944,0.254913,0.104208,0.000000,0.889286,0.100629,0.196078,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,5,2.166979,0.087326,0.062824,0.085271,0.098013,0.000000,0.136364,0.115337,0.159555,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,6,2.016330,0.340811,0.221922,0.232076,0.034483,0.000000,0.951004,0.052632,0.201684,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,7,0.971681,0.790710,0.868930,0.272727,0.084142,0.000000,0.927939,0.160000,0.199288,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,8,1.957673,0.384912,0.412731,0.258902,0.118280,0.000000,0.938083,0.073620,0.189904,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,9,1.959722,0.358249,0.439210,0.254709,0.091633,0.000000,0.869822,0.099548,0.205128,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,10,1.023265,0.769192,0.857796,0.241055,0.099448,0.000000,0.915663,0.090909,0.230366,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,MEAN,1.583312,0.497620,0.539879,0.228547,0.081344,0.000000,0.782875,0.105740,0.206172,0.000000,0,8,1.0000,10.9951,602.71,11.00,0.5652,6.9589e+08,4.0656e+02,1711651.6489,0
4,1,1.279792,0.639816,0.828779,0.489521,0.019029,0.000000,0.403433,0.142012,0.264819,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,2,1.147167,0.726312,0.861463,0.589286,0.007407,0.000000,0.284553,0.166667,0.261468,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,3,1.736698,0.151292,0.063025,0.492884,0.188341,0.000000,0.407080,0.218263,0.326241,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,4,1.267094,0.647612,0.805210,0.659854,0.090967,0.000000,0.405882,0.124224,0.246575,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,5,1.876809,0.146907,0.080613,0.076733,0.214598,0.000000,0.250000,0.143807,0.240506,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,6,1.873541,0.322494,0.323220,0.526205,0.004751,0.000000,0.365945,0.150000,0.267396,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,7,1.320698,0.654526,0.814788,0.363229,0.104980,0.000000,0.401590,0.160000,0.243243,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,8,1.608407,0.458253,0.536103,0.658345,0.103448,0.000000,0.391363,0.119760,0.250580,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,9,1.556679,0.440336,0.579562,0.602108,0.116176,0.000000,0.393285,0.133333,0.271148,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,10,1.328766,0.644461,0.795421,0.504365,0.086887,0.000000,0.337079,0.145695,0.298077,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,MEAN,1.499565,0.483201,0.568818,0.496253,0.093658,0.000000,0.364021,0.150376,0.267005,0.000000,0,8,1.0000,10.9951,588.34,11.00,0.5652,6.9821e+08,3.9962e+02,1747199.6293,0
5,1,0.963890,0.756188,0.876920,0.492754,0.086957,0.000000,0.834532,0.142012,0.392332,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,2,0.699515,0.843479,0.927810,0.568251,0.000000,0.004329,0.817610,0.166667,0.302181,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,3,1.931666,0.136965,0.069981,0.469869,0.096573,0.001956,0.571429,0.218263,0.198925,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,4,0.986384,0.718746,0.850000,0.603044,0.104628,0.000000,0.912821,0.124224,0.143770,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,5,2.344134,0.122650,0.081053,0.080000,0.098300,0.000000,0.081633,0.143807,0.349357,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,6,1.552150,0.505145,0.349053,0.492437,0.035088,0.000000,0.986652,0.150000,0.402150,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,7,0.769310,0.817630,0.913004,0.339506,0.084416,0.000000,0.964763,0.160000,0.405063,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,8,1.455196,0.528444,0.558525,0.588307,0.118919,0.004988,0.967532,0.119760,0.274126,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,9,1.537510,0.487320,0.576778,0.550885,0.091725,0.004175,0.880886,0.133333,0.347758,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,10,0.788738,0.797234,0.890742,0.527250,0.100840,0.000000,0.947910,0.145695,0.292818,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,MEAN,1.302849,0.571380,0.609387,0.471230,0.081744,0.001545,0.796577,0.150376,0.310848,0.000000,0,8,1.0000,10.9951,562.48,11.00,0.5652,6.9729e+08,3.9428e+02,1768528.7636,0
6,1,1.267464,0.710377,0.832732,0.187919,0.086957,0.424628,0.375546,0.142012,0.348123,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,2,0.900242,0.818136,0.910903,0.109422,0.000000,0.521739,0.270492,0.166667,0.300557,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,3,2.072493,0.286955,0.079056,0.163580,0.096573,0.609636,0.378378,0.218263,0.157576,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,4,1.528355,0.629223,0.791123,0.168847,0.104628,0.457008,0.347561,0.124224,0.169429,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,5,2.465044,0.122195,0.073230,0.049587,0.098300,0.211405,0.250000,0.143807,0.287898,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,6,2.670815,0.273204,0.241199,0.148964,0.035088,0.180939,0.333013,0.150000,0.363846,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,7,1.050134,0.725785,0.875711,0.195804,0.084416,0.111765,0.365854,0.160000,0.352000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,8,2.492659,0.334675,0.448775,0.161391,0.118919,0.358510,0.358127,0.119760,0.252585,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,9,2.351604,0.368660,0.481779,0.167324,0.091725,0.431448,0.369830,0.133333,0.318048,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,10,1.036071,0.725162,0.867658,0.165631,0.100840,0.353230,0.310502,0.145695,0.311526,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,MEAN,1.783488,0.499437,0.560217,0.151847,0.081744,0.366031,0.335930,0.150376,0.286159,0.000000,0,8,1.0000,10.9951,552.18,11.00,0.5652,6.9662e+08,3.9404e+02,1767861.8137,0
7,1,0.978125,0.757879,0.870530,0.406032,0.067416,0.566553,0.860399,0.152941,0.392559,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,2,0.726061,0.859908,0.937414,0.409037,0.000000,0.572755,0.847458,0.166667,0.327217,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,3,2.002461,0.286955,0.083142,0.342481,0.112049,0.564103,0.806122,0.222222,0.156322,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,4,1.058010,0.704063,0.848362,0.432921,0.106464,0.571936,0.921905,0.124224,0.146540,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,5,1.984567,0.134627,0.076473,0.080503,0.108094,0.465863,0.571429,0.148282,0.346477,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,6,1.684242,0.466969,0.316429,0.386683,0.018349,0.532637,0.945816,0.150000,0.402383,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,7,0.746433,0.810504,0.903271,0.312500,0.083067,0.510638,0.930355,0.160000,0.383838,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,8,1.605911,0.484684,0.536874,0.431634,0.118846,0.519337,0.945074,0.130952,0.257288,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,9,1.605351,0.466097,0.562803,0.422259,0.094518,0.534351,0.898148,0.141593,0.339609,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,10,0.803241,0.803324,0.891798,0.403587,0.108696,0.510046,0.920114,0.153846,0.281081,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,MEAN,1.319440,0.577501,0.602710,0.362764,0.081750,0.534822,0.864682,0.155073,0.303331,0.000000,0,8,1.0000,10.9951,548.58,11.00,0.5652,7.0091e+08,3.9473e+02,1775691.0633,0
8,1,1.495474,0.585550,0.718848,0.187919,0.094340,0.257333,0.850856,0.142012,0.266359,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,2,1.144151,0.687341,0.800992,0.109422,0.000000,0.364807,0.822785,0.166667,0.266055,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,3,1.614074,0.494682,0.088694,0.162328,0.120301,0.886502,0.613718,0.218263,0.298701,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,4,1.641993,0.556094,0.679073,0.168646,0.150735,0.402412,0.920690,0.124224,0.215139,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,5,2.297515,0.128714,0.060889,0.045455,0.137078,0.248186,0.130435,0.143807,0.238222,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,6,2.441438,0.368697,0.200690,0.148833,0.043956,0.462094,0.988041,0.150000,0.267761,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,7,1.120718,0.653207,0.768419,0.191781,0.134557,0.082228,0.967113,0.160000,0.251701,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,8,2.335809,0.391388,0.371898,0.161319,0.136943,0.598706,0.973813,0.119760,0.231511,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,9,2.335928,0.359584,0.400908,0.167031,0.119241,0.517661,0.902857,0.133333,0.266234,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,10,1.097097,0.678087,0.776690,0.165289,0.125000,0.384752,0.950968,0.145695,0.299517,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,MEAN,1.752420,0.490334,0.486710,0.150802,0.106215,0.420468,0.812128,0.150376,0.260120,0.000000,0,8,1.0000,10.9951,572.67,11.00,0.5652,6.9827e+08,3.9326e+02,1775611.6322,0
9,1,0.948997,0.714835,0.835206,0.313187,0.048780,0.000000,0.816568,0.163743,0.277395,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,2,0.731568,0.819918,0.906139,0.291055,0.017857,0.000000,0.791878,0.166667,0.280285,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,3,2.586623,0.102453,0.060722,0.250310,0.139501,0.003908,0.761905,0.222222,0.289308,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,4,1.111365,0.652744,0.787562,0.295983,0.127907,0.005013,0.885827,0.147239,0.235294,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,5,2.065363,0.122650,0.069578,0.073937,0.154002,0.000000,0.500000,0.164875,0.245791,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,6,1.778552,0.353982,0.247319,0.273260,0.012245,0.007092,0.890719,0.150000,0.276929,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,7,0.717040,0.784640,0.877649,0.228856,0.136364,0.000000,0.866295,0.160000,0.258278,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,8,1.742810,0.401890,0.443559,0.308725,0.140567,0.000000,0.903986,0.130952,0.255892,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,9,1.718521,0.386546,0.477048,0.312268,0.127820,0.000000,0.852090,0.165939,0.277380,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,10,0.850948,0.764370,0.860262,0.273356,0.135831,0.000000,0.859081,0.157895,0.299517,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,MEAN,1.425179,0.510403,0.556504,0.262094,0.104087,0.001601,0.812835,0.162953,0.269607,0.000000,0,8,1.0000,10.9951,554.51,11.00,0.5652,6.9655e+08,3.9402e+02,1767809.4837,0
10,1,1.090360,0.578632,0.710256,0.500952,0.104938,0.256513,0.897849,0.195402,0.485399,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
10,2,0.996814,0.610672,0.740420,0.600000,0.006873,0.357443,0.886311,0.240000,0.251564,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
10,3,1.145565,0.583894,0.166860,0.435013,0.355414,0.892504,0.574394,0.253275,0.183230,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
10,4,1.066697,0.557947,0.713385,0.580108,0.257576,0.394168,0.906137,0.158537,0.137193,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
10,5,1.925900,0.290934,0.105004,0.085142,0.381730,0.282862,0.054054,0.183323,0.570530,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
10,6,0.923371,0.621218,0.498233,0.482227,0.055319,0.570787,0.975879,0.150000,0.615125,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
10,7,1.055356,0.593824,0.728072,0.340299,0.302128,0.081794,0.944099,0.178218,0.335501,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
10,8,1.012852,0.556100,0.626466,0.570205,0.316043,0.621097,0.950874,0.130952,0.348701,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
10,9,1.144224,0.527896,0.623889,0.535567,0.330806,0.552582,0.842541,0.157895,0.460455,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
10,10,1.045300,0.606649,0.720125,0.512102,0.242963,0.384241,0.952830,0.181818,0.160920,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
10,MEAN,1.140644,0.552777,0.563271,0.464162,0.235379,0.439399,0.798497,0.182942,0.354862,0.000000,0,8,1.0000,10.9951,547.84,11.00,0.5652,7.0299e+08,3.9304e+02,1788598.7045,0
11,1,0.857200,0.730515,0.847735,0.299559,0.144737,0.559758,0.859259,0.142012,0.408696,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
11,2,0.576569,0.838640,0.923311,0.242678,0.093750,0.689540,0.825532,0.166667,0.338279,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
11,3,1.303395,0.528761,0.131492,0.225426,0.299346,0.932484,0.618182,0.218263,0.170787,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
11,4,0.924670,0.681112,0.828452,0.281967,0.231140,0.717325,0.930314,0.124224,0.144547,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
11,5,1.985303,0.214676,0.082656,0.068966,0.304989,0.690377,0.137931,0.143807,0.308732,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
11,6,1.529452,0.464396,0.293086,0.254531,0.064516,0.819237,0.987746,0.150000,0.406127,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
11,7,0.652251,0.796516,0.889337,0.216216,0.308943,0.284404,0.971710,0.160000,0.384615,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
11,8,1.418751,0.488885,0.530192,0.281736,0.265604,0.859880,0.973813,0.119760,0.276453,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
11,9,1.458656,0.469434,0.550071,0.286047,0.273359,0.821256,0.911977,0.141593,0.335766,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
11,10,0.639671,0.807004,0.890875,0.273224,0.259434,0.706376,0.950904,0.145695,0.283544,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
11,MEAN,1.134592,0.601994,0.596720,0.243035,0.224582,0.708064,0.816737,0.151202,0.305755,0.000000,0,8,1.0000,10.9951,549.43,11.00,0.5652,7.0095e+08,3.9315e+02,1782902.7162,0
12,1,0.727283,0.789700,0.898685,0.306306,0.416667,0.724696,0.859259,0.255556,0.550265,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
12,2,0.541184,0.870479,0.956892,0.265193,0.064516,0.834192,0.829787,0.240000,0.374245,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
12,3,1.155321,0.544172,0.173976,0.258065,0.384373,0.922876,0.630037,0.308668,0.139037,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
12,4,0.829465,0.714041,0.899954,0.308365,0.357751,0.836983,0.930314,0.264368,0.146132,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
12,5,1.598883,0.298059,0.107053,0.131313,0.386415,0.845953,0.137931,0.275126,0.361152,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
12,6,1.147460,0.577382,0.406150,0.273089,0.216667,0.889720,0.988898,0.355556,0.571805,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
