round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.359816,0.515260,0.662158,0.677051,0.000000,0.000000,0.000000,0.065636,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.068261,0.636877,0.898096,0.468952,0.000000,0.000000,0.000000,0.082789,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.188186,0.187802,0.045194,0.676684,0.000000,0.000000,0.000000,0.148148,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.306884,0.310619,0.558112,0.394642,0.000000,0.000000,0.000000,0.057574,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.825651,0.128008,0.119184,0.384561,0.000000,0.000000,0.000000,0.073271,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.111728,0.683042,0.476712,0.909246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.210685,0.549321,0.748017,0.423584,0.000000,0.000000,0.000000,0.076809,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.174114,0.595147,0.433592,0.887173,0.000000,0.000000,0.000000,0.061441,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.002491,0.701230,0.760514,0.825126,0.000000,0.000000,0.000000,0.063660,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.268669,0.362169,0.761550,0.206911,0.000000,0.000000,0.000000,0.050955,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.351648,0.466948,0.546313,0.585393,0.000000,0.000000,0.000000,0.068028,0.000000,0.000000,0,8,1.0000,14.9995,268.92,15.00,0.4862,1.9401e+09,6.8976e+02,2812701.9240,0
1,1,2.390759,0.210735,0.309357,0.374338,0.063117,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.628093,0.455493,0.302863,0.470835,0.643263,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.822130,0.201426,0.145455,0.614535,0.070988,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.520455,0.589254,0.276501,0.626897,0.793065,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.864236,0.153754,0.322314,0.224406,0.286216,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.330179,0.679783,0.283077,0.927932,0.374508,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,2.092287,0.237819,0.287590,0.246408,0.317393,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.562115,0.571285,0.248374,0.857881,0.342147,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.200845,0.725615,0.283486,0.880344,0.705248,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.478385,0.552883,0.280433,0.411451,0.780827,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.888949,0.437805,0.273945,0.563503,0.437677,0.000000,0.000000,0.000000,0.000000,0.000000,0,8,1.0000,14.9995,265.88,15.00,0.4862,1.9398e+09,6.8887e+02,2815862.0828,0
2,1,0.671547,0.778122,0.862835,0.973512,0.953069,0.016461,0.000000,0.979324,0.016719,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.332379,0.932621,0.963406,0.973570,0.995603,0.000000,0.000000,0.975723,0.197917,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,1.586562,0.311688,0.074542,0.987935,0.938547,0.026316,0.000000,0.909091,0.378143,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
