round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.812574,0.667948,0.795874,0.186978,0.000000,0.000000,0.000000,0.142012,0.121417,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.778384,0.787570,0.880104,0.109422,0.000000,0.000000,0.000000,0.166667,0.126649,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.043993,0.052529,0.055738,0.149296,0.000000,0.000000,0.000000,0.218263,0.200000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.831493,0.593158,0.738536,0.166276,0.000000,0.000000,0.000000,0.124224,0.152284,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.042892,0.055488,0.061190,0.019608,0.000000,0.000000,0.000000,0.143807,0.092157,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,2.028701,0.142931,0.179831,0.148899,0.000000,0.000000,0.000000,0.150000,0.124234,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.855962,0.687780,0.814580,0.179487,0.000000,0.000000,0.000000,0.160000,0.104869,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.954425,0.255207,0.367396,0.159051,0.000000,0.000000,0.000000,0.119760,0.103666,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.925378,0.289108,0.413203,0.164019,0.000000,0.000000,0.000000,0.133333,0.123321,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.851247,0.682147,0.809586,0.159681,0.000000,0.000000,0.000000,0.145695,0.180791,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
