round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.697003,0.535413,0.182054,0.926582,0.000000,0.138462,0.470089,0.783297,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.721480,0.259802,0.186611,0.524410,0.000000,0.094488,0.158008,0.490960,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.531102,0.820092,0.172662,0.938247,0.000000,0.146341,0.892173,0.250000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.689440,0.271386,0.170027,0.427028,0.000000,0.113014,0.042279,0.801008,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.688004,0.679018,0.167442,0.586027,0.000000,0.144638,0.697784,0.856890,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.506062,0.632710,0.197433,0.944050,0.000000,0.100629,0.081616,0.295918,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.756794,0.234425,0.164471,0.540797,0.000000,0.000000,0.088528,0.688679,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.540779,0.634414,0.178306,0.936663,0.000000,0.217391,0.293675,0.787776,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.538221,0.612646,0.158494,0.864752,0.000000,0.120401,0.211207,0.666667,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.731830,0.120883,0.176237,0.222410,0.000000,0.000000,0.057901,0.419628,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.640072,0.480079,0.175374,0.691097,0.000000,0.107536,0.299326,0.604082,0.000000,0.000000,0,6,1.0000,N/A,56.96,N/A,N/A,N/A,2.3853e+06,N/A,0
2,1,0.936412,0.668734,0.419115,0.979342,0.992424,0.654822,0.515111,0.981825,0.049587,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.951536,0.590162,0.421891,0.976837,0.996920,0.688372,0.170463,0.976055,0.227273,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.865388,0.847466,0.267148,0.994008,0.988166,0.653846,0.893541,0.892857,0.245161,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.808068,0.759629,0.424775,0.979756,0.997202,0.661272,0.052687,0.975974,0.286726,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.844534,0.881136,0.372881,0.925865,0.996942,0.681661,0.848743,0.975663,0.052174,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.645287,0.766566,0.441103,0.994109,0.989554,0.667598,0.104772,0.720000,0.273372,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,1.061880,0.473043,0.419963,0.951586,0.998883,0.000000,0.100704,0.981481,0.321839,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.683206,0.764901,0.427136,0.997242,0.986239,0.354430,0.330854,0.981111,0.286898,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
