epsilon_target,epsilon_achieved,krum_detection_rate,krum_score_ratio,best_f1_macro,best_accuracy,is_original_anchor,tag
0.5,0.4949,1.0,99.5696,0.4452,0.6409,False,application_dp0p5
1.0,0.9949,1.0,101.1566,0.4486,0.6892,False,application_dp01
2.0,1.9944,1.0,101.6371,0.4895,0.6982,False,application_dp02
4.0,3.9948,1.0,103.3556,0.5862,0.7469,False,application_dp04
5.0,4.995,1.0,102.2931,0.5903,0.7466,False,application_dp05
6.0,5.9954,1.0,103.5415,0.5803,0.7533,False,application_dp06
7.0,6.9935,1.0,104.1001,0.5659,0.7244,False,application_dp07
8.0,7.9959,1.0,104.4783,0.5805,0.7303,False,application_dp08
10.0,9.996,1.0,104.1179,0.6019,0.7467,False,application_dp10
11.0,10.9951,1.0,104.047,0.5689,0.7192,False,application_dp11
12.0,11.9945,1.0,104.6443,0.6295,0.7894,False,application_dp12
13.0,12.9937,1.0,104.5593,0.6179,0.7577,False,application_dp13
14.0,13.9948,1.0,104.5894,0.609,0.7889,False,application_dp14
15.0,,1.0,,0.7286,0.8406,True,application
15.0,,1.0,,0.6954,0.8441,True,application_byz4_10
