epsilon_target,epsilon_achieved,krum_detection_rate,krum_score_ratio,best_f1_macro,best_accuracy,is_original_anchor,tag
0.5,0.4942,1.0,304.7481,0.6378,0.8747,False,network_dp0p5
1.0,0.9964,1.0,309.855,0.6822,0.8868,False,network_dp01
2.0,1.9948,1.0,311.0051,0.7552,0.9126,False,network_dp02
4.0,3.9962,1.0,310.239,0.7892,0.939,False,network_dp04
5.0,4.9958,1.0,312.0685,0.7592,0.9149,False,network_dp05
6.0,5.9982,1.0,313.4033,0.753,0.9202,False,network_dp06
7.0,6.9968,1.0,313.9507,0.8186,0.9574,False,network_dp07
8.0,7.998,1.0,314.5559,0.7861,0.9386,False,network_dp08
10.0,9.9964,1.0,315.0316,0.7822,0.9407,False,network_dp10
11.0,10.9981,1.0,314.8567,0.7347,0.9172,False,network_dp11
12.0,11.9977,1.0,314.2977,0.7816,0.9293,False,network_dp12
13.0,12.9989,1.0,314.8625,0.782,0.9346,False,network_dp13
14.0,13.9993,1.0,314.4001,0.8084,0.9444,False,network_dp14
15.0,,1.0,,0.8237,0.9679,True,network_byz2_7
15.0,,1.0,,0.836,0.9708,True,network_byz4_10
