round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.708422,0.524562,0.639071,0.910847,0.000000,0.000000,0.004244,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.728477,0.663282,0.912170,0.512322,0.000000,0.000000,0.003899,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.860213,0.189840,0.039191,0.920785,0.000000,0.000000,0.001957,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.976596,0.315803,0.552500,0.414990,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.852924,0.112608,0.105292,0.589882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.917741,0.691491,0.478054,0.929404,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.819448,0.567292,0.751648,0.530769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.916396,0.600282,0.423779,0.920925,0.000000,0.000000,0.009934,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.816154,0.714609,0.769904,0.846508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.952635,0.376687,0.773932,0.217221,0.000000,0.000000,0.009174,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.854900,0.475646,0.544554,0.679365,0.000000,0.000000,0.002921,0.000000,0.000000,0.000000,0,7,1.0000,N/A,66.10,N/A,N/A,N/A,3.8234e+05,N/A,0
2,1,0.798721,0.832962,0.840897,0.965335,0.857143,0.532544,0.402612,0.992758,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.896261,0.877428,0.953289,0.795155,0.844208,0.571429,0.299020,0.987486,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,1.117960,0.405526,0.058781,0.969468,0.787004,0.549020,0.404432,0.757576,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,1.136158,0.750527,0.861950,0.742561,0.856434,0.545455,0.028771,0.989920,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.890044,0.719442,0.306205,0.798295,0.836879,0.554264,0.387393,0.989541,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.928622,0.785637,0.766420,0.982173,0.858388,0.555911,0.061360,0.778947,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,1.100669,0.764377,0.918750,0.813124,0.881398,0.000000,0.100917,0.996918,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.939597,0.771748,0.713944,0.983425,0.867596,0.465116,0.175258,0.989543,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.735083,0.910013,0.927043,0.960093,0.854759,0.561224,0.273267,0.982361,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,10,1.233983,0.714860,0.906126,0.513560,0.849853,0.266667,0.057116,0.983607,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,0.977710,0.753252,0.725340,0.852319,0.849366,0.460163,0.219015,0.944866,0.000000,0.000000,0,7,1.0000,N/A,59.45,N/A,N/A,N/A,3.8230e+05,N/A,0
3,1,0.593628,0.861932,0.867257,0.978219,0.992481,0.620800,0.561845,0.989971,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.663649,0.937301,0.951224,0.981069,1.000000,0.609231,0.430173,0.984018,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,3,0.878254,0.514388,0.083131,0.995421,1.000000,0.368960,0.544821,0.892857,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,4,0.756716,0.858154,0.902909,0.984781,0.999948,0.839319,0.036010,0.984364,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,5,0.567564,0.807507,0.372000,0.919804,1.000000,0.791005,0.561973,0.985187,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,6,0.620255,0.821002,0.846383,0.994809,0.997146,0.857143,0.070644,0.750000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,7,0.861681,0.774960,0.934633,0.942149,0.998885,0.000000,0.117421,0.991506,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,8,0.659531,0.792590,0.791014,0.998571,0.996933,0.406250,0.221048,0.986726,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,9,0.455277,0.963530,0.934864,0.996689,0.999338,0.842491,0.464730,0.978320,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
