round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.607851,0.338824,0.496143,0.916440,0.601467,0.000000,0.000000,0.000000,0.003857,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.290954,0.617185,0.649313,0.888744,0.931407,0.000000,0.000000,0.000000,0.023609,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.916869,0.299975,0.184397,0.894214,0.717149,0.000000,0.000000,0.000000,0.259201,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.272991,0.723262,0.464411,0.879263,0.949275,0.000000,0.000000,0.000000,0.645821,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.929268,0.167469,0.098684,0.848967,0.890490,0.000000,0.000000,0.000000,0.019646,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.224360,0.813518,0.598416,0.954252,0.669870,0.000000,0.000000,0.000000,0.720123,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.314382,0.564896,0.587486,0.895623,0.920393,0.000000,0.000000,0.000000,0.514744,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.252630,0.735703,0.467190,0.952561,0.738783,0.000000,0.000000,0.000000,0.695116,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.247099,0.754100,0.579112,0.951214,0.854281,0.000000,0.000000,0.000000,0.048849,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.191612,0.766813,0.644381,0.758837,0.952085,0.000000,0.000000,0.000000,0.619845,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.424802,0.578174,0.476953,0.894012,0.822520,0.000000,0.000000,0.000000,0.355081,0.000000,0,8,1.0000,13.9993,138.31,14.00,0.4977,1.4480e+05,6.8794e+02,210.4883,0
2,1,0.651822,0.769402,0.842340,0.975479,0.966790,0.000000,0.000000,0.842123,0.113821,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.389900,0.905687,0.937086,0.973081,0.995393,0.000000,0.000000,0.597137,0.660194,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,1.429568,0.300102,0.070386,0.990819,0.968116,0.000000,0.000392,0.024988,0.714046,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.314253,0.922250,0.840279,0.978112,0.996998,0.000000,0.000000,0.916114,0.840788,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.889869,0.642204,0.285494,0.921053,0.995420,0.000000,0.000000,0.886304,0.297297,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.409132,0.878455,0.689848,0.991998,0.972015,0.000000,0.000000,0.271062,0.830328,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.459409,0.884784,0.912042,0.945274,0.998883,0.000000,0.000000,0.847105,0.840426,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.378247,0.880991,0.736407,0.994881,0.969970,0.000000,0.000000,0.840220,0.833570,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.298459,0.924363,0.871212,0.993668,0.989467,0.000000,0.000000,0.739615,0.861111,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.326547,0.925070,0.910926,0.946227,0.997861,0.000000,0.000000,0.565619,0.858454,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,0.554720,0.803331,0.709602,0.971059,0.985091,0.000000,0.000039,0.653029,0.685004,0.000000,0,8,1.0000,13.9993,134.91,14.00,0.4977,1.5064e+05,5.9604e+02,252.7399,0
3,1,0.522139,0.814456,0.894833,0.973221,0.963235,0.068768,0.254069,0.990566,0.021798,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.274857,0.945602,0.972865,0.973422,0.996355,0.163522,0.277129,0.987486,0.287823,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,3,1.231747,0.406672,0.095563,0.984172,0.957020,0.031180,0.248292,0.862069,0.422760,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,4,0.198850,0.948420,0.905381,0.978987,0.997311,0.114865,0.172524,0.986005,0.907313,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,5,0.749240,0.683831,0.351131,0.911184,0.990881,0.119734,0.263836,0.985476,0.055172,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,6,0.288228,0.910078,0.787958,0.990684,0.960442,0.134969,0.157303,0.727273,0.893914,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,7,0.285329,0.939696,0.961049,0.943709,1.000000,0.000000,0.252747,0.993818,0.891161,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,8,0.258357,0.914418,0.827047,0.993335,0.959941,0.089552,0.244666,0.987859,0.859085,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,9,0.226598,0.940117,0.922730,0.992350,0.984928,0.072607,0.218182,0.976996,0.356021,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,10,0.193924,0.962325,0.961612,0.946606,0.998345,0.000000,0.225681,0.993421,0.917018,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,MEAN,0.422927,0.846562,0.768017,0.968767,0.980846,0.079520,0.231443,0.949097,0.561207,0.000000,0,8,1.0000,13.9993,135.18,14.00,0.4977,1.5552e+05,5.8814e+02,264.4347,0
4,1,0.552215,0.799632,0.888005,0.975067,0.959707,0.034965,0.200562,0.985181,0.016824,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,2,0.293307,0.936418,0.965928,0.976992,0.997317,0.102190,0.233216,0.983945,0.187050,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,3,1.198726,0.389101,0.093217,0.989735,0.954286,0.022556,0.202572,0.892857,0.392912,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,4,0.214108,0.947661,0.904176,0.980832,0.997830,0.069565,0.168067,0.982006,0.895404,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,5,0.832384,0.666266,0.345701,0.918740,0.990881,0.068293,0.207897,0.982987,0.041812,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,6,0.324921,0.908389,0.789242,0.990480,0.957798,0.051724,0.120690,0.757895,0.872841,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,7,0.291592,0.934704,0.958318,0.951586,1.000000,0.000000,0.178771,0.986770,0.883908,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,8,0.252229,0.914317,0.838440,0.993436,0.959229,0.086957,0.206897,0.982222,0.853389,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,9,0.253847,0.938606,0.927287,0.992651,0.985915,0.041379,0.239726,0.975543,0.239437,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,10,0.189737,0.960945,0.958422,0.951774,0.998414,0.000000,0.262948,0.985075,0.911211,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,MEAN,0.440307,0.839604,0.766874,0.972129,0.980138,0.047763,0.202135,0.951448,0.529479,0.000000,0,8,1.0000,13.9993,134.59,14.00,0.4977,1.5895e+05,5.9028e+02,269.2745,0
5,1,0.502366,0.826761,0.919423,0.976245,0.970370,0.083871,0.419705,0.990570,0.016684,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,2,0.276840,0.930590,0.961998,0.978000,0.997892,0.118421,0.370098,0.988610,0.181395,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,3,1.099431,0.507894,0.151741,0.991163,0.965318,0.041812,0.444377,0.892857,0.402018,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,4,0.194372,0.950400,0.925438,0.982196,0.998398,0.111486,0.236948,0.987794,0.903306,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,5,0.758741,0.719682,0.482670,0.920530,0.992390,0.113208,0.427907,0.987919,0.043333,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,6,0.314491,0.915269,0.856027,0.991489,0.967682,0.072187,0.223077,0.750000,0.879112,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,7,0.264540,0.933906,0.957840,0.950000,1.000000,0.000000,0.339483,0.996145,0.894827,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,8,0.221495,0.927608,0.876986,0.994774,0.968657,0.156863,0.412470,0.988404,0.864286,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,9,0.242015,0.938714,0.937384,0.993563,0.988830,0.073333,0.357143,0.979702,0.222951,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,10,0.172649,0.960945,0.960332,0.951818,0.998690,0.000000,0.321608,0.996721,0.923139,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,MEAN,0.404694,0.861177,0.802984,0.972978,0.984823,0.077118,0.355282,0.955872,0.533105,0.000000,0,8,1.0000,13.9993,133.90,14.00,0.4977,1.6244e+05,5.8723e+02,276.6179,0
6,1,0.481576,0.818138,0.900735,0.975479,0.966790,0.508929,0.505588,0.993139,0.014350,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,2,0.344377,0.891734,0.919188,0.978000,0.997892,0.600897,0.359867,0.988584,0.123810,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,3,0.850052,0.594601,0.299451,0.991163,0.965318,0.279919,0.573350,0.877193,0.407865,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,4,0.186676,0.945723,0.904542,0.982324,0.998605,0.617647,0.172018,0.987960,0.906130,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,5,0.548825,0.788017,0.655303,0.920792,0.995434,0.578231,0.560517,0.986824,0.056680,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,6,0.243234,0.931925,0.888022,0.991489,0.967682,0.622754,0.204380,0.742268,0.923382,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,7,0.345669,0.889577,0.914725,0.943709,1.000000,0.000000,0.307359,0.995370,0.846800,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,8,0.215914,0.926299,0.900168,0.995082,0.970874,0.303797,0.445933,0.990634,0.858721,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,9,0.219901,0.934506,0.905168,0.993561,0.988838,0.604317,0.340136,0.979702,0.247350,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,10,0.221188,0.931010,0.917146,0.952251,0.999104,0.105263,0.196407,0.995074,0.888372,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,MEAN,0.365741,0.865153,0.820445,0.972385,0.985054,0.422175,0.366556,0.953675,0.527346,0.000000,0,8,1.0000,13.9993,135.31,14.00,0.4977,1.6548e+05,5.8627e+02,282.2600,0
7,1,0.555980,0.800988,0.886092,0.974693,0.959707,0.082707,0.518091,0.980952,0.013412,0.142857,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,2,0.365482,0.877958,0.909635,0.976977,0.997318,0.125874,0.364212,0.981609,0.101961,0.080000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,3,0.909377,0.615228,0.299435,0.991870,0.971098,0.065934,0.611354,0.909091,0.403970,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,4,0.226840,0.931100,0.890015,0.983669,0.999018,0.111675,0.135472,0.975968,0.893333,0.103448,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,5,0.734606,0.749759,0.634429,0.922570,0.996951,0.108911,0.541867,0.978273,0.050633,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,6,0.315076,0.909234,0.886633,0.992093,0.972171,0.072495,0.151943,0.774194,0.903824,0.181818,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,7,0.357829,0.873203,0.896814,0.946844,1.000000,0.000000,0.290909,0.980423,0.828921,0.176471,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,8,0.226181,0.925493,0.885872,0.995494,0.973783,0.108108,0.486782,0.979364,0.857143,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,9,0.269639,0.919616,0.895129,0.994065,0.990476,0.075085,0.323232,0.973865,0.202312,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,10,0.217867,0.925070,0.904474,0.955292,0.999242,0.000000,0.215349,0.978297,0.873442,0.144578,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,MEAN,0.417888,0.852765,0.808853,0.973357,0.985976,0.075079,0.363921,0.951204,0.512895,0.082917,0,8,1.0000,13.9993,133.37,14.00,0.4977,1.6879e+05,5.8577e+02,288.1535,0
8,1,0.347317,0.872493,0.924477,0.976637,0.973978,0.139073,0.655945,0.989175,0.039409,0.266667,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,2,0.212967,0.933327,0.955742,0.978341,0.998083,0.213333,0.484561,0.988584,0.423913,0.214286,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,3,0.692063,0.699262,0.198153,0.992232,0.973761,0.094488,0.727404,0.909091,0.544243,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,4,0.159323,0.942689,0.929831,0.983279,0.998759,0.195759,0.180243,0.986155,0.913882,0.358209,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
