model_type,tag,best_round,best_f1_macro,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM
application,application_dp0p5,23,0.4452,0.6623,0.5516,0.1827,0.7644,0.7969,0.2605,0.3431,0.0,,,,,,,
application,application_dp01,24,0.4486,0.6839,0.6673,0.1268,0.6849,0.8657,0.2604,0.2998,0.0,,,,,,,
application,application_dp02,20,0.4895,0.6955,0.6722,0.3015,0.7908,0.8804,0.2603,0.3153,0.0,,,,,,,
application,application_dp04,25,0.5862,0.7291,0.6899,0.3556,0.923,0.8212,0.2595,0.3456,0.5656,,,,,,,
application,application_dp05,25,0.5903,0.748,0.7236,0.3891,0.9131,0.8206,0.2553,0.3163,0.5561,,,,,,,
application,application_dp06,25,0.5803,0.7176,0.772,0.2961,0.8496,0.8881,0.2605,0.3966,0.4616,,,,,,,
application,application_dp07,23,0.5659,0.7474,0.758,0.4025,0.6109,0.8227,0.2596,0.343,0.5829,,,,,,,
application,application_dp08,25,0.5805,0.7285,0.5617,0.4408,0.8594,0.8988,0.2383,0.4346,0.482,,,,,,,
application,application_dp10,24,0.6019,0.751,0.6871,0.4154,0.9104,0.8218,0.2605,0.3556,0.6134,,,,,,,
application,application_dp11,23,0.5689,0.7171,0.7705,0.429,0.7281,0.8162,0.2197,0.4138,0.4565,,,,,,,
application,application_dp12,24,0.6295,0.7968,0.7835,0.3992,0.9195,0.821,0.2769,0.4271,0.6116,,,,,,,
application,application_dp13,25,0.6179,0.8113,0.7595,0.3963,0.9083,0.8233,0.2301,0.4081,0.6064,,,,,,,
application,application_dp14,22,0.609,0.7483,0.7941,0.4731,0.851,0.817,0.26,0.4636,0.465,,,,,,,
application,application,24,0.7286,0.9393,0.8088,0.5471,0.9504,0.9103,0.448,0.4256,0.7991,,,,,,,
application,application_byz4_10,23,0.6954,0.9114,0.8149,0.5366,0.9523,0.9315,0.4663,0.5552,0.3952,,,,,,,
network,network_dp0p5,18,0.6378,0.8072,,,,,,,,0.9732,0.9978,0.5095,0.3335,0.8994,0.5815,0.0
network,network_dp01,25,0.6822,0.8296,,,,,,,,0.9762,0.9915,0.4725,0.4052,0.9545,0.5874,0.2404
network,network_dp02,23,0.7552,0.8129,,,,,,,,0.9754,0.9899,0.6369,0.5537,0.9517,0.715,0.4058
network,network_dp04,25,0.7892,0.8635,,,,,,,,0.9715,0.9917,0.7446,0.6968,0.9566,0.6814,0.4079
network,network_dp05,25,0.7592,0.8344,,,,,,,,0.9988,0.9938,0.6747,0.5387,0.9613,0.6363,0.4354
network,network_dp06,19,0.753,0.8316,,,,,,,,0.9981,0.9933,0.5073,0.5867,0.9556,0.6704,0.4809
network,network_dp07,24,0.8186,0.8811,,,,,,,,0.999,0.9965,0.7388,0.7509,0.9898,0.7324,0.4604
network,network_dp08,18,0.7861,0.8599,,,,,,,,0.9953,0.9943,0.7045,0.6949,0.9822,0.7041,0.3535
network,network_dp10,25,0.7822,0.8943,,,,,,,,0.9753,0.9908,0.7405,0.6002,0.9136,0.7034,0.4394
network,network_dp11,16,0.7347,0.8415,,,,,,,,0.9759,0.9911,0.5336,0.5494,0.938,0.674,0.3738
network,network_dp12,25,0.7816,0.8552,,,,,,,,0.998,0.9934,0.7415,0.5851,0.9589,0.6771,0.4432
network,network_dp13,18,0.782,0.8682,,,,,,,,0.9766,0.9951,0.7551,0.6361,0.9549,0.664,0.4064
network,network_dp14,25,0.8084,0.9181,,,,,,,,0.9988,0.9958,0.7921,0.6852,0.9764,0.6404,0.4606
network,network_byz2_7,21,0.8237,0.9583,,,,,,,,0.999,0.9977,0.6804,0.7455,0.9956,0.775,0.4382
network,network_byz4_10,20,0.836,0.965,,,,,,,,0.9997,0.9989,0.7768,0.7373,0.9937,0.7669,0.4494
